de el banco central , apyka apytere _gui
el informe , marandu
de el banco central , guapyha apytere _gua
de el banco central , guapyha apytere _gua
depende de el cambio ,osaingo *  ñembyekovia _gui
establece el banco central ,omohenda *  guapyha apytere
el presidente , mburuvicha
el gobierno , porukái
a la falta , pokã _me
de el departamento , teta'i _gui
urgió la necesidad de esta medida ,ombopya'ekuri *  temikotevẽ ko ta'ã _gui
de la pequeña , mitã'i _gui
no puede ,ndokatui *
a el crecimiento , mopu'ã _me
esta opinión fue ,ko ñeimo'ã ohokuri *
por el presidente , mburuvicha rehe
esta falta ,ko teko'avy
las provincias , teta'ikuéra
en el mercado , ñemuha _pe
de el gobierno , tekuái _gua
de el gobierno , porukái _gua
en este sentido ,ko andu _pe
la ley , tembiapoukapy
en el trabajo , tembiapo _pe
no vamos ,nderohoi *
por su parte ,i_ marandu rupi
de el gobierno , porukái _gua
este camino ,ko tape
las pequeñas , mitã'ikuéra
el futuro , tenonderã
de el país , tetã _gui
con los cambios , jevakuéra ndive
la cena , karu
la vanguardia , tenondegua
esos remedios ,umi pohãnguéra
el departamento , teta'i
cuenta el hecho ,omombe'u *  jehupyre
en el futuro , tenonderã _me
la semana , arapokõindy
los gobiernos , porukáikuéra
de la firma , teraguapy _gua
por esta firma ,ko teraguapy rupi
el mundo , arapy
las medidas , ta'ãnguéra
por el gobierno , tekuái rehe
de la firma , teraguapy _gui
en el mercado , ñemuha _pe
de el gobierno , tekuái _gua
de el mundo , yvóra _gua
no podrá ,ndopojáirit *
de la firma , teraguapy _gua
en la elección , poravo _pe
para el uso ,omombyta *  jepokuaa
el consejo , ñemoñe'ẽ
las principales noticias , marandukuéra pu'akave
el consejo , ñemoñe'ẽ
de el país , tetã _gui
el informe , marandu
a la opinión pública , ñeimo'ã ojekuaáva _me
la urgencia , tagẽ
el mercado , ñemuha
los peligros , ñemongyhyjekuéra
por su parte ,i_ pehẽngue _re
las relaciones , jokuaakuéra
este año ,ko arajere
la bolsa cae , sapikua ho'a *
en el año , arajere _pe
de los fondos , kupekuéra _gua
señala los cambios ,omoma'ẽ *  ñembyekoviakuéra
estos cambios ,ã jevakuéra
las bolsas , sapikuakuéra
de los negocios , ñemukuéra _gua
el comercio , ñemu
mitiga las pérdidas ,ombovevúi *  jerokañynguéra
de el informe , marandu _gui
este mismo año ,ko arajere ae
sobre la reforma , ñembopyahu ári
el interés , kuaase
la relación , jokuaa
de el trabajo , tembiapo _gui
de el trabajo , mba'apo _gua
el proyecto , ñeimo'ã
por el movimiento , ñemýi rupi
el documento , kuatia
a el empleo , tembiapo _pe
a las personas , avaitekuéra _pe
de el paro , pytu'u _gui
así el compromiso ,apyhykuri *  poroapytĩ
de el paro , pytu'u _gua
a los servicios , pytyvõnguéra _pe
regreso a el empleo ,ajere *  mba'apoha _pe
de esta forma ,ko ysaja _gua
la firma , teraguapy
el simple hecho , jehupyre año
a los retos , py'ara'ãnguéra _pe
de esos compromisos ,umi poroapytĩnguéra _gui
en el subsidio , pytyvõ _me
el carácter , teko
las sanciones , ñembohepykuéra
el texto , kuatia
el subsidio , pytyvõ
de las licencias , sãsokuéra _gui
el mercado , ñemuha
el presidente , mburuvicha
de el mercado , ñemuha _gui
en el bucle local , avakua apegua _pe
para el progreso ,ojoko *  ñakãrapu'ã
el estado , tetã
la red , kyha
el presidente , mburuvicha
de el mercado , ñemuha _gui
por la falta , jejavy rupi
el mundo , arapy
este mercado ,ko ñemuha
de la red , kyha _gua
la solución total , ry oĩmbáva
en la red , kyha _pe
el gobierno , tekuái
de las licencias , sãsokuéra _gui
por la llegada , guahẽ rehe
tienen estas licencias ,oguereko * ã sãsokuéra
el presidente , mburuvicha
a la información , momarandu _pe
sobre la oferta , ñekuã ári
el mercado , ñemuha
el camino para el crecimiento , tape ojoko *  akãrapu'ã
la prosperidad , ñemotenonde
el director , ruvicha
de los ciudadanos , tavayguakuéra _gui
de el libro , kuatia _gua
la prosperidad , ñemotenonde
el secretario general , pytyvõhára pavẽ
por la formación , tesape'a rehe
en la unión , juaju _pe
el buen camino , tape marangatu
en este sentido ,ko andu _pe
sobre el impulso , ñemuaña ári
de la ciencia , pokuaa _gui
ofreció el apoyo ,oropojáikuri *  pytyvõ
de los retos , ja'okuéra _gui
por el gobierno , tekuái _re
a la prosperidad , po'a _pe
la colaboración , pytyvõ
en este campo ,ko okára _pe
el libro , kuatia
la enseñanza para , tekombo'e opyta *
la provisión futura , jegueru upeigua
este documento ,ko kuatia
el conocimiento , tembikuaa
para el director general ,opyta *  sãmbyhyha pavẽ
la colaboración , ñepytyvõ
el sector , pehẽngue
con el presidente , mburuvicha ndive
los intereses generales , kuaasekuéra pavẽ
de la unión , joaju _gui
la reunión , aty
el interés , kuaase
de el diálogo social , ñemongeta jojapy _gui
de el gobierno , tekuái _gui
para el empleo ,omombyta *  mba'apoha
la seguridad social , kyhyje'ỹ jojapy
la reforma , ñembopyahu
de los acuerdos , jurupeteĩnguéra _gua
sobre el empleo , mba'apoha ári
el crecimiento , akãrapu'ã
las relaciones , jokuaakuéra
en la reforma , ñembopyahu _pe
en el trabajo , ñemba'apo _pe
de el año , arajere _gua
de el banco , apyka _gua
el motivo principal , apoukaha pu'akave
de el banco , guapyha _gua
la reducción , ñemomichĩ
el estado dispone , tetã omoĩ *
de las acciones , tembiapokuéra _gua
el gobierno , tekuái
de este banco ,ko guapyha _gui
en este año ,ko arajere _pe
de los objetivos , temimo'ãnguéra _gui
los errores , javykuéra
a el gobierno , porukái _pe
a el banco , guapyha _pe
de el banco , guapyha _gui
el prestigio , jerovia
por la violación , ñerairõ rupi
a el banco , apyka _pe
el año , arajere
los niveles , jojahakuéra
de el presente año , arajere ãgagua _gui
por la reducción , ñemomichĩ _re
la caja , mba'yru
de el fin , apýra _gua
el banco , apyka
por el banco , guapyha rehe
el banco , apyka
la reducción , ñemomichĩ
establece el cambio ,omohenda *  ñembyekovia
el acuerdo , jurupeteĩ
de las acciones , tembiapokuéra _gui
la fusión , jehe'a
el acuerdo , jurupeteĩ
el apoyo , pytyvõ
de las acciones , tembiapokuéra _gua
el presidente , mburuvicha
esta fusión ,ko jehe'a
en el sector , pehẽngue _pe
por su parte ,i_ marandu rehe
el director , mburuvicha
las necesidades , kotevẽmbykuéra
de el mundo , yvy _gua
en el sector , pehẽngue _pe
en el sector , pehẽngue _pe
a el año , arajere _pe
a el año , arajere _pe
los peligros , mongyhyjehakuéra
la búsqueda , jeheka
de el grano , jati'i _gua
a los mercados , ñemuhakuéra _pe
para las elecciones ,opyta *  poravokuéra
por el consejo , ñemoñe'ẽ rupi
de el país , tetã _gua
a la seguridad , kyhyje'ỹ _me
a el tiempo , ára _pe
los efectos , ra'ykuekuéra
la desconfianza , jepoyhu
en las autoridades , mburuvichakuéra _pe
el fondo , tevi
de el acuerdo , ñe'ẽjoaju _gua
de el país , tetã _gui
quiebra de el fondo ,omopẽ *  hugua _gua
la semana , arapokõindy
en el banco , guapyha _pe
de el estado , teko _gua
las pruebas , py'ara'ãnguéra
de estas llamadas ,ko'ã ñehenóikuéra _gui
de el banco popular , guapyha ka'avo _gui
hasta el fin , paha peve
la solidez , atãngue
de la moneda , pirapire _gua
de la gente , yvypóra _gui
la calma , kirirĩ
de este país ,ko tetã _gui
el fondo , kupe
este fondo ,ko tevi
de la población , táva _gui
el gobierno , tekuái
sobre los fondos , tuguakuéra ári
con el objetivo , tekorã ndive
el fraude , pokarẽ
el engaño , ñuhã
la falsa publicidad , momarandu japu
el presidente , mburuvicha
de la necesidad , hýi _gua
a los grandes desafíos , jeporohekakuéra guasu _pe
manifestó a la prensa ,ho'ytakuri *  jopyha _pe
el presidente , mburuvicha
el doctor , pohanohára
la próxima semana , arapokõindy kyta'i
en la reunión , ko'i _pe
los presidentes , mburuvichakuéra
de el parlamento , ñemongeta _gua
el recinto , koty
de la ley , tembiapoukapy _gui
de el pueblo , tetama _gui
la fuente , ña'ẽmbe
el tema , ñe'ẽmbyrã
de el país , tetã _gua
a el gobierno , tekuái _pe
de el presidente , mburuvicha _gui
por su parte ,i_ vo rehe
desde el principio , ñepyrũ guive
están a la espera ,oĩ *  ñeha'arõ _me
la senda , guataha
entrevistará con el presidente ,oñomongetat *  mburuvicha ndive
para esta noche ,opyta * ko pyharekue
de el viaje , jeguata _gui
el consejo , ñemoñe'ẽ
los nuevos pasos , pa'ũnguéra pyahu
en el oriente medio , kuarahyresẽ mbytere _me
de la autoridad , mburuvicha _gui
con el presidente , mburuvicha _ndi
el presidente , mburuvicha
por el cambio , ñembyekovia rehe
las elecciones , poravokuéra
de el partido , ñembosarái _gui
en las intenciones , potakuéra _pe
la campaña , okára
de las naciones , tetãnguéra _gui
para la observación ,ojoko *  ma'ẽ
la compra , mba'eñemu
a el libre voto , poravo jera _pe
los temas , ñe'ẽmbyrãnguéra
a los observadores extranjeros , ma'ẽhakuéra pytagua _pe
los observadores , ma'ẽhakuéra
la compra , mba'eñemu
de el voto , poravo _gui
para las elecciones ,omombyta *  jeporavokuéra
espera la llegada ,ojerovia *  guahẽ
de la campaña , okára _gua
de la oposición , ñembohovái _gua
de los pinos , kurikuéra _gua
esta semana ,ko arapokõindy
no hará ,ndojapoit *
no insistirá ,ndotu'uit *
de el poder , katu _gui
con la participación , ñemomarandu _ndi
