las reservas , ñongatupykuéra
de ,de
oro ,itaju
y ,ha
divisas ,divisas
de ,de
subieron ,ombojupikuri *
millones ,millones
de ,de
dólares ,dólares
y ,ha
de ,de
mayo ,mayo
equivalían ,equivalían
millones ,millones
de ,de
dólares ,dólares
informó ,omomarandukuri *
hoy ,ko'ára
de ,de
el informe , marandu
de ,de
mayo las reservas ,mayo  ñongatupykuéra
de ,de
oro ,itaju
y ,ha
divisas ,divisas
de ,de
eran ,oha'emi *
de ,de
millones ,millones
de ,de
dólares ,dólares
divisas ,divisas
poder ,katu
de ,de
y ,ha
de ,de
calculan ,opapa *
dólares ,dólares
estadounidenses ,estadounidenses
y ,ha
su valor depende de el cambio oficial ,i_ py'aguasu osaingo *  jeva oficial _gui
rublo ,rublo
dólar ,dólar
establece ,omohenda *
las reservas , ñongatupykuéra
oro ,itaju
valoran ,omomba'eguasu *
base ,guapyha
dólares ,dólares
estadounidenses ,estadounidenses
de ,de
oro ,itaju
el presidente , mburuvicha
de ,de
la ,la
cree ,ojerovia *
necesario ,ñeikotevẽva
de ,de
para ,opyta *
poder ,pokatu
mano ,po
de ,de
obra ,japopyre
cálculos ,cálculos
de ,de
de ,de
impide ,impide
empleos ,mba'apohakuéra
urgió la necesidad de esta medida legal ,ombopya'ekuri *  hýi ko ta'ã legal _gua
la pequeña , mitã'i
y ,ha
mediana ,mediana
empresa ,empresa
la ,la
sindicatos ,sindicatos
y ,ha
administraciones ,administraciones
materia ,mba'e
de ,de
prevención ,prevención
no puede ,ndopojáiri *
ser ,ser
tarde ,tarde
meses ,jasykuéra
para ,omombyta *
un permiso ,un permiso
de ,de
residencia ,tekoha
de ,de
de ,de
falta ,falta
de ,de
mano ,po
de ,de
obra ,apopyre
actúa ,omba'apo *
en su opinión ,i_ ñeimo'ã _me
como ,añemboapyte *
freno a el crecimiento económico ,ajurujoko *  mopu'ã económico _me
esta opinión fue ,ko ñeimo'ã oha'ekuri *
por el presidente , mburuvicha rehe
de ,de
subrayó ,subrayó
mano ,avatisoka
de ,de
obra ,mba'apokue
tanto ,tanto
como ,añemboapyte *
no ,no
de ,de
pero ,jepéramo
ha ,oĩ *
las provincias catalanas , teta'ikuéra catalanas
urgente ,pojava
de ,de
contratación ,contratación
de ,de
extranjeros ,ñande'ỹva
un sistema ,un sistema
ágil ,rari
y ,ha
rápido ,pya'e
para ,omombyta *
en el mercado laboral , ñemuha laboral _pe
ante ,ante
de ,de
y ,ha
de ,de
la ,la
de ,de
y ,ha
representación ,ta'anga
de el gobierno catalán , porukái catalán _gua
de ,de
alerta ,atõi
sobre ,sobre
en este sentido ,ko andu _pe
instó ,instó
empresarios ,empresarios
sindicatos ,sindicatos
y ,ha
administraciones ,administraciones
la ley , tembiapoukapy
de ,de
prevención ,prevención
de ,de
riesgos ,kyhyjerãnguéra
en el trabajo , ñemba'apo _pe
a su juicio ,iñ_ apytu'ũ _me
no vamos ,nderohoi *
bien ,bien
lo ,lo
por su parte ,i_ marandu rehe
y ,ha
y ,ha
de ,de
este camino ,ko tape
afirmó ,afirmó
las pequeñas , mitã'ikuéra
y ,ha
medianas ,medianas
empresas ,empresas
son ,pu
el futuro , tenondegua
de el país , tetã _gua
por su capacidad ,i_ ha'eve rupi
para ,ojoko *
y ,ha
con los cambios , ñembyekoviakuéra ndive
está ,oiko *
la cena , karu
representa ,omoha'anga *
más ,más
de ,de
empresas ,empresas
han ,oime *
desarrollado ,desarrollado
proyectos ,jejaposekuéra
más ,más
así ,apyhykuri *
como ,ajepy'ajoko *
distinguió ,ombojoavykuri *
de ,de
embargo ,embargo
más ,más
proyectan ,ojapose *
para ,ojoko *
esos remedios ,umi pohãnguéra
extremos ,extremos
y ,ha
justificación ,justificación
efecto ,ra'ykue
de ,de
dijo ,ho'ytakuri *
no tiene ,ndoguerekoi *
cuenta el hecho ,omombe'u *  jehupyre
de ,de
ha ,oime *
ha ,oĩ *
cometido ,cometido
graves ,pohýi
violaciones ,ñerairõnguéra
legales ,legales
y ,ha
es ,oha'e *
preciso ,preciso
remedios ,myatyrõnguéra
serios ,serios
para ,ojoko *
e ,ha
violaciones ,ñerairõnguéra
similares ,similares
en el futuro , tenonderã _me
la semana , arapokõindy
pasada ,jehasa
de ,de
y ,ha
los gobiernos , tekuáikuéra
de ,de
de ,de
los ,los
estados ,tetãnguéra
demandaron ,demandaron
presentaron a el juez ,okuave'ẽkuri *  yvyraja _pe
una versión ,una versión
de ,de
solución ,ry
judicial ,judicial
las ,las
figura la división de la firma ,figura  ñepehẽ'a  teraguapy _gua
dos ,dos
compañías ,compañías
tomaría ,tomaría
posesión ,mba'e
por esta firma ,ko teraguapy rupi
y ,ha
usan ,oporu *
ciento ,ciento
de ,de
todo ,todo
el mundo , yvy
y ,ha
la ,la
pasaría ,pasaría
todo ,todo
de ,de
popular ,kavure'i
suite ,suite
y ,ha
los ,los
pero ,jepéramo
el juez , yvyrajára
de ,de
abril ,abril
dictaminó ,dictaminó
incurrió ,incurrió
prácticas ,jeporukuaa
de ,de
monopolio ,monopolio
opinó ,opinó
las medidas , ta'ãnguéra
no son ,ndoha'ei *
severas ,tukumbo
y ,ha
manifestó ,ho'ytakuri *
favor ,apoporãmby
compañías ,compañías
de ,de
aseguran ,omoañete *
la división , ja'opy
de la firma , teraguapy _gui
disminuiría ,disminuiría
su capacidad para ,i_ tembiapokuaa omombyta *
en el mercado , ñemuha _pe
considera ,considera
de ,de
convertiría ,convertiría
la ,la
compañía ,compañía
de el mundo , yvy _gua
no ganará ,no ganará
no podrá ,ndoikatuit *
de ,de
competencia ,competencia
la ,la
considera ,considera
la separación , jepe'a
de la firma , teraguapy _gua
es ,oha'e *
de ,de
las ,las
acusa ,acusa
no ,no
ha ,oĩ *
sus prácticas comerciales ,i_ porukuéra comerciales
y ,ha
ha ,oĩ *
de ,de
ordenadores ,ordenadores
mayor ,kakuaa
flexibilidad ,flexibilidad
en la elección , jeporavo _pe
de ,de
operación ,operación
y ,ha
más ,más
opciones ,poravohakuéra
para el uso ,ojoko *  jepokuaa
de ,de
programas ,programas
no ,no
pero ,jepéramo
ha ,oime *
su visión ,i_ jecha
lo ,lo
sus recursos legales podrían ,i_ poruhakuéra legales podrían
tribunales ,tribunales
de ,de
apelación ,apelación
o ,térã
podrían ,podrían
de ,de
de ,de
monopolio ,monopolio
el consejo , ñemoñe'ẽ
de ,de
y ,ha
cierres ,cierres
parciales ,pehẽnguéva
de ,de
las ,las
abren ,ope'a *
hoy ,ko'ára
titula ,titula
primera ,primera
de ,de
de ,de
y ,ha
gasolineras ,gasolineras
y ,ha
señala ,omoma'ẽ *
de ,de
como ,ha'u *
base ,ropyta
el informe , marandu
ayer ,ayer
de ,de
la ,la
y ,ha
asegura ,omohatã *
de ,de
batalla ,ñorairõ
de ,de
será ,oha'et *
a la opinión pública , ñeimo'ã ojekuaáva _me
de los riesgos , kyhyjerãnguéra _gui
de un consumo ,un consumo _gua
y ,ha
desbocado ,desbocado
ver ,ver
la urgencia , tagẽ
de ,de
el mercado laboral , ñemuha laboral
y ,ha
de ,de
los peligros , mongyhyjehakuéra
por su parte ,i_ marandu rehe
titula ,titula
portada ,portada
de ,de
y ,ha
quieren ,opota *
una nueva ronda ,una ronda pyahu
comercial ,comercial
este año ,ko arajere
gasolineras ,gasolineras
amenazan ,amenazan
cierres ,cierres
parciales ,pehẽnguéva
cae ,okukúi *
mayo ,mayo
y ,ha
pierde ,orokañy *
en el año , arajere _pe
de ,de
inversión ,inversión
de ,de
la ,la
bolsas ,sapikuakuéra
española ,española
modelos ,modelos
más ,más
europeos ,europeos
y ,ha
considera estos cambios lógicos ,considera ã ñembyekoviakuéra lógicos
resulta ,resulta
razonable ,razonable
las ,las
europeas ,europeas
sus normas ,i_ tekorãnguéra
de ,de
contratación ,contratación
supondrán ,supondrán
gestores ,gestores
inversores ,inversores
y ,ha
operadores ,operadores
señala ,omoma'ẽ *
portada ,portada
gasolineras ,gasolineras
protestan ,ombohovái *
contra ,contra
y ,ha
de ,de
la ,la
comercio ,ñemuha
electrónico ,electrónico
supera ,supera
y ,ha
mitiga las pérdidas ,ombovevúi *  jerokañynguéra
y ,ha
cierra ,omboty *
de ,de
de ,de
halagüeñas ,halagüeñas
de el informe , marandu _gui
de ,de
la ,la
puede ,okatu *
este mismo año ,ko arajere ae
de ,de
todo ,todo
hoy ,ko'ára
una maratoniana negociación ,una negociación maratoniana
de ,de
horas ,horas
sobre ,sobre
la ,la
de ,de
desempleo ,desempleo
ha ,oime *
el interés , kuaase
de ,de
de ,de
las ,las
cinco ,cinco
grandes ,tuicha
centrales ,apytere
sindicales ,sindicales
proyecto ,jejapose
de ,de
protocolo ,protocolo
de ,de
acuerdo ,jurupeteĩ
de ,de
puntos ,puntos
los agentes sociales volverán , tahachikuéra jojapy ojeret *
reafirma la relación ,reafirma  jokuaa
la ,la
indemnización ,indemnización
de ,de
desempleo ,desempleo
y ,ha
la ,la
ayuda ,ñepytyvõ
para ,ojoko *
pero ,jepéramo
progresiva ,progresiva
como ,ha'u *
avance ,avance
de ,de
de ,de
y ,ha
de ,de
de ,de
embargo ,embargo
la ,la
de ,de
consideró ,consideró
el proyecto , ñeimo'ã
de ,de
empresas ,empresas
francesas ,francesas
supone ,supone
importante ,importante
no da ,nombojárai *
respuesta ,mbohovái
no cobran una indemnización ,no cobran una indemnización
de ,de
el documento propone , kuatia propone
ayuda ,ñepysyrõ
para ,ojoko *
a el empleo , tembiapo _pe
