esos vinos comprometían,umi kaguykuéra nporoapytĩri
esos paraderos no juran estos exámenes,umi pytahakuéra nñe'ẽme'ẽi ã kuaara'ãnguéra
esos paraderos no juran estos exámenes,umi pytahakuéra nñe'ẽme'ẽi ã porandupyrãnguéra
esos paraderos no juran estos exámenes,umi pytahakuéra nñe'ẽme'ẽi ko'ã kuaara'ãnguéra
esos paraderos no juran estos exámenes,umi pytahakuéra nñe'ẽme'ẽi ko'ã porandupyrãnguéra
esos paraderos no juran estos exámenes,umi tekohakuéra nñe'ẽme'ẽi ã kuaara'ãnguéra
esos paraderos no juran estos exámenes,umi tekohakuéra nñe'ẽme'ẽi ã porandupyrãnguéra
esos paraderos no juran estos exámenes,umi tekohakuéra nñe'ẽme'ẽi ko'ã kuaara'ãnguéra
esos paraderos no juran estos exámenes,umi tekohakuéra nñe'ẽme'ẽi ko'ã porandupyrãnguéra
estos resoplidos contarán,ã tĩmbukuéra nmombe'ui
estos resoplidos contarán,ã tĩmbukuéra ndpapai
estos resoplidos contarán,ko'ã tĩmbukuéra nmombe'ui
estos resoplidos contarán,ko'ã tĩmbukuéra ndpapai
este diafragma no aplaude aquella oportunidad,ko py'asãngue ndjepopetei amo ja
este diafragma no aplaude aquella oportunidad,ko py'asãngue ndjepopetei aipo ja
este diafragma no aplaude aquella oportunidad,ko py'asãngue ndjepopetei ako ja
vuestro salvado moría,pende rora ndarapai
vuestro salvado moría,pende rora nmanoi
vuestro salvado moría,pende rora ndpytupai
vuestro salvado moría,pende rorakue ndarapai
vuestro salvado moría,pende rorakue nmanoi
vuestro salvado moría,pende rorakue ndpytupai
vuestras toallas no testimoniaban este edificio,pene aomokãrãnguéra nmombe'ui ko óga
las adquisiciones fijan,rekéchokuéra ndjatykai
las adquisiciones fijan,rekéchokuéra nmbojai
las adquisiciones fijan,rekéchokuéra nmombytai
el chiquero valió,kurekua ndvalei
estas gallinas no presentaron,ã ryguasukuéra ndguerui
estas gallinas no presentaron,ã ryguasukuéra nkuave'ẽi
estas gallinas no presentaron,ã ryguasukuéra ndrui
estas gallinas no presentaron,ko'ã ryguasukuéra ndguerui
estas gallinas no presentaron,ko'ã ryguasukuéra nkuave'ẽi
estas gallinas no presentaron,ko'ã ryguasukuéra ndrui
