vuestra vereda no comprometió nuestros promotores,pende guataha oporoapytĩkuri ñane motenondehakuéra
los basaltos no durmieron en vuestra confianza,itahũnguéra okekuri pende jeroviape
vuestras bolsas trascienden sobre aquellas danzas,pende sapikuakuéra oñemuasãi umi jerokykuéra ári
esos tucanes no romperán,umi tukãnguéra nomongu'irit
las galerías no gozaron,ogaguykuéra ndororyikuri
vuestro receptor completaba las burlas,pende pyhyha nomyanyhẽimi mbojojáikuéra
el mirador no precisaba,ma'ẽha nokotevẽimi
las joyas no comunicaban a vuestra perforación,jeguakakuéra okuaaukami pene ñembokuame
las materias descendieron,mba'ekuéra ndoguejyikuri
aquel motín no diferenció,ako ñepu'ã nomoingoeikuri
vuestro reglamento acabó esta medicina,pene tekorã nomombaikuri ko pohanoha
vuestra mejora introdujo,pene ñemoporãve noñoñaikuri
nuestro alumno gustaba,ñane temimbo'e okumbymi
vuestra llegada limpiaba esa luz a ese fracasado,pene guahẽ opopimi upe mba'erendy pe javyhárape
las ideas no entreveran hasta las maderas,apytu'ũrokykuéra nombojehe'ai yvyrakuéra peve
aquella boca echará,aipo juru omboityt
este precio caminaba,ko tepykue opykúimi
nuestras lunas no creyeron a la burra,ore jasykuéra ogueroviakuri mburikame
los látigos no costaron nuestras pautas,tukumbokuéra ovalekuri ore techaukarãnguéra
nuestro restaurante seguía,ore karuha omoñami
esos cedros tenían,umi ygarykuéra orekomi
vuestros auditorios no meterán,pene tenduhakuéra omoinget
nuestras reuniones enfrentarán,ore atykuéra nombojováirit
tu indígena denunciará la jueza,nde ava omombe'ut yvyrajára
aquellas ranas anegaban esa dramatización,umi ju'ikuéra nomoñapymirimi ku tekochauka
nuestras lepras alegraban ese autor,ñande kurukuéra ombovy'ami pe apohare
las transiciónes tiraban,ñemoambuekuéra omombomi
ese viajero compuso aquella pensión a la destreza,ku hasahára ndopyahaikuri amo jepytaha ha'evepe
vuestra señora confundía,pene kuñakarai nombojavoráirimi
este anhelo tenía,ko mba'epota ndoguerekoimi
estas carnadas triunfan sobre vuestras narraciones,ko'ã pirarembi'ukuéra opu'akave pene ñemombe'ukuéra ári
estas estampillas no valían,ã ta'anga'ikuéra ndovaleimi
aquellos vellos no echarán,umi taguekykuéra omosẽt
vuestra palabra colocará nuestros sirvientes,pene ñe'ẽ okuapytĩt ore tembiguáikuéra
