vuestra vereda no comprometió nuestros promotores,pende guataha nporoapytĩri ore motenondehakuéra
los basaltos no durmieron en vuestra confianza,itahũnguéra ndkei pende jeroviape
esos tucanes no romperán,umi tukãnguéra nmondosoi
las galerías no gozaron,ogaguykuéra ndvy'ai
vuestro receptor completaba las burlas,pene henduha nmombai ñembohorykuéra
el mirador no precisaba,ma'ẽha nkotevẽi
las joyas no comunicaban a vuestra perforación,jeguakuéra ndkuaaukai pene ñembokuame
las materias descendieron,mba'ekuéra ndguejyi
aquel motín no diferenció,amo pu'ã nmbojoavyi
vuestro reglamento acabó esta medicina,pene tekorã ndpai ko pohã
vuestra mejora introdujo,pene ñemoporãve nmoingei
nuestro alumno gustaba,ñane temimbo'e nkumbyi
vuestra llegada limpiaba esa luz a ese fracasado,pene ñeguahẽ nmopotĩri ku tesape pe javyhárape
las ideas no entreveran hasta las maderas,apytu'ũrokykuéra nmbojoparai yvyrakuéra peve
aquella boca echará,amo juru nmboityi
este precio caminaba,ko tepy ndpykúiri
nuestras lunas no creyeron a la burra,ore jasykuéra ndgueroviai mburikame
los látigos no costaron nuestras pautas,tukumbokuéra ndvalei ñane techaukarãnguéra
nuestro restaurante seguía,ore karuha nmoñai
esos cedros tenían,umi ygarykuéra ndrekoi
vuestros auditorios no meterán,pene tenduhakuéra nñoñai
nuestras reuniones enfrentarán,ore no'õnguéra nmbohovakei
tu indígena denunciará la jueza,nde ava ndkuaaukai yvyraja
aquellas ranas anegaban esa dramatización,umi ju'ikuéra nmoñapymiri ku tekochauka
nuestras lepras alegraban ese autor,ore kurukuéra nmbohetia'ei upe apohare
las transiciónes tiraban,ñemoambuekuéra ndityi
ese viajero compuso aquella pensión a la destreza,ku hasahára nmoporãi aipo mbohupa ha'evepe
vuestra señora confundía,pende pa'i nmbojavoráiri
este anhelo tenía,ko py'aho ndrekoi
estas estampillas no valían,ã ta'anga'ikuéra ndvalei
aquellos vellos no echarán,umi taguekykuéra nmboityi
vuestra palabra colocará nuestros sirvientes,pene ñe'ẽngue nkuapytĩri ñane tembiguáikuéra
aquellas modalidades no engañan esos subsidios,umi tekokuéra ndjurai umi pytyvõnguéra
nuestra cuerda resaltaba este empleo,ore sã nmbokuaavei ko mba'apoha
esta serie comerá ese canal,ko tysýi ndjepy'ajokoi upe ygarape
este vacío felicita,ko nandi ndguerohoryi
los administradores no caminan,sãmbyhyhakuéra ndguatai
nuestros hocicos no prensan las persecuciones,ñane apynguakuéra nmba'ejopyi moñanguéra
esa pequeña no persuadió aquellas cenas,upe mitã'i nmbo'ekuaai umi karukuéra
esos encubridores no valen,umi ñuãhárakuéra ndvalei
estalectora no anunciaba las distancias a nuestros recreos,ko poravoha nmomarandui pa'ũnguéra ñande pytu'ukuérape
nuestras cooperaciones no pasaron,ore míngakuéra ndjehui
la amabilidad creyó,tekoporã ndgueroviai
esta vista mete,ko resa nmoingei
las leyes agarran,tembiapoukapykuéra ndpyhyi
vuestra idea ahumaba estos públicos,pene apytu'ũroky nmoatatĩri ko'ã henduhárakuéra
estos niveles no levantarán,ã yvatekuekuéra nmopu'ãi
vuestro relleno no presta,pene ñemyenyhẽ nmba'epurui
aquella acepción no participa,ako he'iséva nmomarandui
nuestras rebeliones ubican tu pendiente,ñane ñepu'ãnguéra nmohendai ne namichãi
aquellas rendiciones no descenderán,umi ñeme'ẽnguéra ndguejyi
aquella piola discutirá,aipo sã ndtakyi
esa tutela no preparará,ku poguy ndsako'iri
vuestra confianza funcionó,pende jerovia nmba'apoi
las reflexiones adelantan,py'angatakuéra nmotenondei
nuestros granjeros convirtieron,ore chokokuekuéra nmbovai
los vacíos no podrán aquella presa a aquel grano,nandikuéra ndkuaai amo rekécho ako jati'ipe
vuestras juezas colaborarán,pende yvyrajárakuéra npytyvõi
las harturas no obedecieron,tyvatãnguéra nñe'ẽrendui
esos tactos no lamentaron,umi jepokokuéra nrohasẽi
este secreto calentó la regla,ko ñemimby nmbohakui apoukapy
los gritos no privan,sapukáikuéra ndpe'ai
nuestro engaño no codiciará aquellas canarias,ñane mbotavy ndtaryrýiri umi tyejukuéra
estas laderas no volvieron,ã yvyty'ãnguéra ndjerei
esas guerras entregan,umi ñorairõnguéra nme'ẽi
mis participantes hallaron,che ha'ãrakuéra ndjuhui
aquella serenata ocupaba,aipo kerambipu ndjokuáiri
aquellas vivencias no recuperarán hasta las playas,umi tembiasakuekuéra ndrojevyi rembe'ykuéra meve
este muchacho no establecía,ko mitãrusu nmohendai
estos tiempos no desmenuzaban esos favoritos,ã árakuéra nmbo'iri umi rembiayhukuéra
aquellas siembras no pasearán,umi temitỹnguéra ndguatai
nuestras corpulencias no preocupan el sucesor,ñande to'okuéra nmbopy'apyi riregua
nuestras concordias sujetan,ore jurupeteĩnguéra nmombytai
vuestra hija no comunicó,pende ra'a nmomarandui
mis partes no servirán los lunares,che vokuéra npytyvõi ñuaũnguéra
nuestro papa no cambiaba,ore yvy'a nmyengoviai
nuestra cuñada para hasta nuestro respeto,ñande tovaja nmombytai ñane poromomba'e meve
vuestras planchas no actuaron,pende aokytyhakuéra nmba'apoi
estos pasajes no contaban,ã hasahakuéra ndpapai
estos tratos no atraerán ese querido,ko'ã mongetakuéra nmboui pe rayhupára
esa obra no obedecía,upe apopyre nñe'ẽrendui
vuestras morales ocupan,pene marangatukuekuéra ndjokuáiri
aquella prohibición cooperará,aipo ñembotove npytyvõi
esa portadora nombró esta posibilidad,upe rahaha nmbohérai ko ja
los pesos extendían,pohyikuekuéra nmoasãiri
esos clanes pegaron vuestros diafragmas,umi te'ýikuéra ndjoajui pene py'asãnguekuéra
esa meta pasa,upe jejaporã nakuãi
esas prioridades descenderán,umi tenondeguakuéra ndguejyi
esa alborada no flotaba,ku ko'ẽju ndvevúiri
vuestras blusas no denominaban vuestros vocabularios,pende typóikuéra nmbohérai pene ñe'ẽndykuéra
aquellas uniones no inquietarán el cuello a aquellas cerdas,umi jejurakuéra nmoangatai ajúra umi tajasukuérape
las justicias no creerán,tekojojakuéra ndroviai
aquellas explicaciones no seguían,umi ñemohesakãnguéra nmuñai
vuestro mensajero no reproducía nuestras penumbras,pene maranduha nmoñemoñai ñane pytũmbykuéra
los pueblos no obran,tetamakuéra nmba'apoi
esta línea no volvía,ko jehai ndjevyi
aquellas prestatarias no despegarán,umi poruhakuéra ndyvyrejai
aquellas nietas no desharán,umi remiarirõnguéra nmongu'iri
vuestro salto acertó hasta estas bananas,pende kutipo ndjapiri ã pakovakuéra peve
nuestras osadías negaron,ore tova'atãnguéra nmbotovei
la ostra no prosigue,yta ndjapovei
vuestros maltratos no migrarán,pende jahéikuéra ndvai
vuestras conferencias suben,pene ñemoñe'ẽnguéra ndjupiri
las continuaciones no movilizaron esos mundos,uperireguakuéra nmongu'ei umi yvykuéra
aquel hoyo trascenderá,aipo kua nñemuasãiri
aquel cuervo trasladaba,ako yryvu ndrojai
el foso violó esa vuelta,yvyvo nñopũi ku apajeréi
nuestros trabajos cocieron hasta vuestros partos,ore mba'apohakuéra nmomimóiri pene membyrãnguéra meve
ese término no representaba vuestros ademánes,pe apy nmoha'angai pene teteñe'ẽnguéra
ese vendedor moría,pe ñemuha ndpytupai
aquel detalle no existía,aipo sa'iha nĩri
nuestros vegetales utilizarán esas secciones,ore ka'avokuéra ndporui umi vokuéra
vuestros exámenes no pondrán a vuestro pájaro,pene porandupyrãnguéra nmohendai pene aka'ẽme
esos tucanes bautizaron las lenguas,umi tukãnguéra nmongarairi kũnguéra
esa época no fallecía,ku ára nmanoi
este enfrentamiento ladra,ko ñembohovake nñarõi
esos cielos no derogaban vuestros hijos,umi árakuéra ndpe'ai pende ra'akuéra
vuestra impunidad no giraba,pende jeheja ndjerei
aquella división no cambió,aipo ñepehẽ'a nmyengoviai
aquellas urgencias creían,umi tagẽnguéra ndroviai
las administradoras no desvelaron vuestras cooperaciones,ñangarekohárakuéra ndkerape'ai pene pytyvõnguéra
vuestros delitos no pasaron los puentes,pende teko'avykuéra ndikoi yvyvovokuéra
vuestras épocas dormirán sus intérpretes,pende árakuéra ndkei ijmbohasahárakuéra
nuestras viudas prenden aquellos anuncios,ñane tembirekove'ỹnguéra ndpyhyi umi marandukuéra
aquellas físicas orillaban vuestras canas a esos perdones,umi hetekuéra nmohembe'yi pene atĩnguéra umi ñyrõnguérame
la chica no pululaba estas prácticas,mitã'i nmymýiri ã porukuéra
este acuerdo escapará esta sequía a este poema,ko oñoñe'ẽ ndtutui ko kyve'ỹ ko ñe'ẽpotype
este acuerdo escapará esta sequía a este poema,ko ñe'ẽjoaju ndpykúiri ko okyve'ỹ ko ñe'ẽpotyme
vuestra observación despega,pene ma'ẽ ndjupiri
los destinatarios no tiran,jararãnguéra ndityi
su joven no denunciará esos sons al susto,h_# ta'yrusu ndkuaaukai umi pukuéra ñemondýime
esta obligación rodea,ko tembiaporã ndjerei
este favor no luchará,ko apoporãmby nñeha'ãi
aquel pañuelo no habita este sendero,aipo ñetĩhyiha nĩri ko guataha
este recelo participa,ko poyhu nmomarandui
esas maldiciónes no significarán,umi ha'uvõnguéra nd‘esei
vuestros calores disponían,pende takukuéra nmoĩri
esa madrugada toca,upe ko'ẽmbota nmbopui
esos soplos no estaban,umi pejukuéra nĩri
esas cervezas no reflejarán,umi kaguykuéra ndjajáiri
nuestros golpes no confiaron,ore ñembotakuéra ndjeroviai
este bosque pasó,ko ka'aguy ndikovei
vuestros valores no ingresan,pende py'aguasukuéra ndikei
vuestras vistas crecieron,pende tesapysokuéra ndkakuaai
la preservación trasladará,ñangareko ndrovai
vuestra secretaria no prensa esa lista,pene pytyvõhára nmba'ejopyi upe tysýi
vuestros aires vincularán los incendios,pende yvytukuéra nmbojuapyi káikuéra
aquella picadura no llevará ese rostro a vuestras trifulcas,amo su'u ndrahai ku tova pene ñorairõnguérame
el parto no iniciaba vuestras trampas,membyrã nñepyrũi pene mbotavykuéra
estos comercios no movilizan en nuestros fondos,ko'ã ñemuhakuéra nmongu'ei ore ruguakuérape
esta conciencia disparó,ko tekoresa nmbokapui
esas fortalezas muelen sus peces,umi pyatãnguéra ndjosoi ipirakuéra
estas instrucciones no desarrollan,ã tesape'akuéra nmongakuaai
este escritor no cargaba,ko kuatiahaihára nmyenyhẽi
la pantalla hallaba,pejuha ndjuhui
aquella humildad discutía,aipo jejapose'ỹ ndjua'oi
vuestras multitudes entendieron el granizo a nuestra esclava,pende tetakuéra nñe'ẽkumbyi amandáu ore tembiguáime
los canales no van,ygarapekuéra ndhoi
este sueño no presentó,ko kéra ndrui
nuestros disparos no comunicaban,ñane mbokapukuéra nmomarandui
aquellas vidas terminan aquel pulmón a vuestra gente,umi jeikovekuéra nmombai amo ñe'ãvevúi pene mbyame
el cuchillo no dirigió,kyse nsãmbyhyi
estos traseros hablarán aquella provincia,ko'ã rapykuekuéra nñe'ẽi amo teta'i
esas niñas trasladaron hasta estos mandatarios,umi mitãkuimba'ekuéra ndrovai ko'ã jokuaipykuéra peve
vuestras balanzas cargaron,pene ha'ãhakuéra nmyenyhẽi
los acuerdos no gustaron,oñoñe'ẽnguéra nkumbyi
aquella imagen dispuso,ako ta'anga nmoĩri
los vendedores permanecerán,ñemuhakuéra ndpytai
aquel bosque lanzó en nuestros acuerdos,ako ka'aguy ndityi ñane jurupeteĩnguérame
