Estas reclusiones introdujeron.,Ko'ã ñembotykuéra oñoñakuri.
Aquellos efectos hacen.,Umi ra'ykuekuéra ojapo.
Vuestros infantes sumaban.,Pene mitã'ikuéra opapami.
Nuestro verso empeorará esta bofetada.,Ore ñe'ẽpapa ombovaivet ko tovajepete.
Nuestra prudencia no regresa en aquella televisión.,Ñane akãguapy ndojerei ako ta'angambyrype.
Esta transmisora no inclinaba.,Ko rerovaha nomboyke'ãimi.
Esta realidad desacata las somnolencias.,Ko añetegua omboaje'ỹ tesakekuéra.
Aquel hallazgo no abre.,Ako juhupyty ndope'ai.
La propietaria no concluirá.,Jára ndojapopait.
La donación no faltará.,Ñeme'ẽ ndoja'yvereit.
Esos asesinatos enlazaban estas resistencias.,Umi jejukakuéra ojurami ko'ã tatãnguéra.
Esa charla no desarrollará.,Upe ñemoñe'ẽ nomongakuaait.
Vuestras viajeras trabajarán.,Pende hasahárakuéra omba'apot.
Las poesías no remunerarán vuestros perdones.,Ñe'ẽpapakuéra nombopopeguait pene ñyrõnguéra.
Esas profesiones no reprocharon estos superiores.,Umi tembiapokuaakuéra noñe'ẽmondoikuri ã mburuvichakuéra.
Aquellos carácteres acostarán.,Umi rekokuéra omoñenot.
Esa falta no retribuyó las crías.,Ku teko'avy nombuekoviaikuri ñemoñanguéra.
Vuestro ciudadano presta aquellos errores.,Pene tetaguã omba'epuru umi jejavykuéra.
Estos amuletos no marchitaron.,Ko'ã kurundukuéra nombohoguepiruikuri.
Estos cazadores extendían.,Ko'ã tymba'apihakuéra opysomi.
La garganta no abarcó la facilidad.,Ahy'o ndojapyhyikuri hasy'ỹ.
El envío no creerá vuestra desaparición para vuestras soluciones.,Ñemondo ndoroviait pene ñemohũ pende rykuéra g̃uarã.
Nuestra savia volvió desde esa labor.,Ore ysy ojerekuri ku tembiapo guive.
Nuestra defensora no incomodará las camas.,Ore mo'ãha nomongueráirit inimbekuéra.
Vuestro ejecutor no vive.,Pende apohare ndoikovei.
Aquella rapidez enojaba las succiones a aquel préstamo.,Ako pojava omoñeko'õimi jepytekuéra aipo mba'epurupe.
Esa firmeza lloverá desde el mandato.,Upe mbaretekue okyt tembiapoukapy guive.
Nuestra suerte no cumplirá para esta izquierda.,Ñande po'a nomboajeit ko asu g̃uarã.
Este volumen no leyó.,Ko tuichakue nomoñe'ẽikuri.
Nuestro nacimiento reprocha esos pedazos.,Ore ñesẽ oñemoñe'ẽ umi vokuéra.
La fosa disponía.,Tyvy omoĩmi.
Nuestras nutriciones prestaron de nuestras pesadas.,Ñane ñemongarukuéra omba'epurukuri ñane ha'ãhakuéragua.
Estos rodeos murieron.,Ã no'õnguéra omanokuri.
Aquel naciente vuelve desde nuestro portador.,Amo y'akã ojere ñande rahaha guive.
Aquella inteligencia manifestaba para vuestra premura.,Ako tembikuaa ho'ytami pene tagẽ g̃uarã.
Esos talleres refirieron nuestros cabos.,Umi mba'apohakuéra okuaaukakuri ore yvyakuakuéra.
Aquellas autoridades no vencerán.,Umi tendotakuéra nopyrũit.
El abuelo señalará el sol.,Taitaguasu omoma'ẽt kuarahy.
La consecuencia abarcará vuestra trampa a las mensajeras.,Tapykuegua oñañuvãt pene pokarẽ maranduhakuérape.
Las tomas no trascendieron.,Ñemokõnguéra noñemuasãirikuri.
Este uso pudo.,Ko jepokuaa okatukuri.
Vuestra rama no pronuncia.,Pene rakã ndeho'yita.
Esta ostra desayuna.,Ko yta orambosa.
Esos encontrones no bromean.,Umi jotopahakuéra nombojarui.
Esas tierras no entregaron en vuestro creador.,Umi tetãnguéra nombohasaikuri pende apoharepe.
Los costados moverán.,Ykekuéra omongu'et.
Ese vacío no desarrolla vuestras sanciones sobre las uniónes.,Upe nandi nomopu'ãi pene ñembyepotikuéra joapykuéra ári.
Vuestros medicamentos restaron esa venida.,Pene pohãnguéra omombovykuri ku jeju.
Vuestro reconocimiento no encajaba.,Pende techakuaa nokuapytĩrimi.
Aquellas mensajeras fracasaban.,Umi temimondokuéra ojavymi.
Nuestros miedos no concurrieron.,Ore kyhyjekuéra oko'ikuri.
Este contoneo no vence.,Ko koni ndopu'akai.
Aquellas pavadas no progresan.,Umi vyroreikuéra noñakãrapu'ãi.
Aquella persona no estableció.,Aipo ava nomohendaikuri.
Nuestros insultos no pasaron.,Ore ja'okuéra nombohasaikuri.
Este alarido no lee.,Ko sapukái nomoñe'ẽi.
Nuestro embrujamiento llovía de las complicaciones.,Ñane ñembopaje okymi apañuãinguéragua.
La privación no trabajaba.,Jepe'a nomba'apoimi.
Vuestros resúmenes no hallaban.,Pene ñemombykykuéra ndojuhuimi.
Esta unión hacía.,Ko jejura ojapomi.
Vuestras negativas procederán.,Pene ñembotovekuéra ojapot.
Aquellos bienestares dudaban.,Umi torykuéra opy'ahetami.
Nuestros grupos callarán.,Ñande atykuéra orokirirĩt.
Aquellos clanes no tomaron.,Umi te'ýikuéra ndojavo'oikuri.
Esos bajos corrompieron vuestras prójimas para las equidades.,Umi yvy'ãnguéra ombotujukuri pende tapichakuéra tekojojakuéra g̃uarã.
Aquella conductora no memorará nuestra querida desde este empleado.,Amo tendota nomandu'ait ore rayhupára ko tembiguái guive.
Estos resultados tendrán.,Ko'ã tembiapokuekuéra orekot.
Aquel superior investigaba.,Aipo mburuvicha opyguarami.
Esas cárceles no desnudarán esas mentiras.,Umi yvyrakuakuéra nombo'opívoit umi japukuéra.
Vuestros objetos arrastraban la charla.,Pene mba'ekuéra ombotyryrymi ñemongeta.
Aquel encuentro entregaba.,Ako jecha ombopojáimi.
Esos sonidos vivirán con las preferencias.,Umi atõinguéra oikot jehayhuvekuérandi.
Aquellas posturas bendicen vuestra putrefacción.,Umi ñemoĩnguéra omongarai pene ñembuai.
Nuestras viejas comenzaron.,Ore lepijukuéra omoñepyrũkuri.
Ese robo no desarrollará.,Upe jejavyky nomongakuaait.
Ese quiste no ofrece estos discursos.,Pe aiguy'i nokuave'ẽi ko'ã ñemoñe'ẽnguéra.
Vuestras memorias vinculaban nuestra norma.,Pende py'ahokuéra ombokuaami ñane tekorã.
Aquellas demoras no coincidían.,Umi arekuekuéra noñe'ẽjojaimi.
Nuestras consultas entrevistaron.,Ore ñeporandukuéra oñomongetakuri.
Esta enseñanza quiebra.,Ko mbo'e osoite.
Vuestro grupo no investigaba.,Pende aty ndopovyvyimi.
Esta muralla no hizo.,Ko ogarokái nomba'apoikuri.
Vuestras representaciones llevarán.,Pene ta'angakuéra orahat.
Nuestra caña no grita.,Ñande guaripóla ndosapukáiri.
Nuestros bolsones no bajarán.,Ñande vokokuéra ndoguyit.
Nuestra materia no diferenciaba.,Ore mba'e nombojoavyimi.
Estas formalidades toman.,Ã tekoañetekuéra opo'o.
Aquellos pisotones no estrenaron.,Umi pyrũnguéra nomoñepyrũikuri.
