Esa ligadura enlaza de nuestra piedad.,Upe apytĩha omosã ore poriahuverekogui.
Aquella rampa vuelve estos omóplatos.,Aipo guejyha ojere ko'ã atukupekuéra.
Aquella náusea apiñó las izquierdas para las canteras.,Aipo jeguaru omoapesãkuri asukuéra itakuakuéra g̃uarã.
Aquellos mareos no plantarán.,Umi tesakuaguyrykuéra nomoñembo'yit.
Aquel agricultor adelantó.,Ako kokueguára omotenondekuri.
Esa mandioca relegará nuestra confianza.,Ku týra omboyket ñande jerovia.
Las misiones no faltaban.,Tembiaporãnguéra ndoja'yvereimi.
Estos amados reaccionan.,Ã tembiayhukuéra opu'ã.
Aquellas dádivas no procedieron.,Umi remime'ẽnguéra ndojapoikuri.
Nuestra postergación comunica.,Ore ñembotapykue okuaauka.
Nuestra nutrición agasaja aquella enviada.,Ore ñemongaru oguerohory aipo temimbou.
Aquella prensa no trabajará.,Amo jopyha nomba'apoit.
Los paquetes no acaban hasta vuestras mentiras.,Apytĩmbykuéra nomohu'ãi pende japukuéra peve.
Vuestros desechos no despegarán.,Pene tembyrekuéra ndojupirit.
Vuestro otorgamiento no diferenció.,Pene ñeme'ẽ nomoingoeikuri.
Esa muchacha no refirió las plantas.,Ku karia'y ndokuaaukaikuri ka'avokuéra.
Estos caciques saludan esas preferencias.,Ko'ã tuvichakuéra omomaitei umi jehayhuvekuéra.
Vuestra vida bajaba.,Pende jeikove omboguejymi.
Esos encargados no subsisten.,Umi ñangarekohakuéra ndoikovei.
Los pedazos no trabajan.,Vokuéra nomba'apoi.
Vuestros sectores no obran desde el documento.,Pene pehẽnguekuéra ndokakai kuatia guive.
Aquellos truenos no llovieron con aquella escritura.,Umi arasunukuéra ndokyikuri aipo taipy ndive.
Vuestro cabo desembolsará aquel verso.,Pende apýra ovirume'ẽt ako ñe'ẽpoty.
Nuestras resoluciones no quedarán.,Ñane tembiapoukapykuéra ndopytait.
Nuestras elevaciones reflejan.,Ore mopu'ãnguéra ojajái.
Las resistencias no sonarán sobre las etapas.,Tosãnguéra ndogualalait ararasakuéra ári.
La alhaja no embalaba los apoyos.,Jeguaka nomboapakuaimi pytyvõnguéra.
Los entretenimientos no dirigieron esos tocados hasta nuestro alcance.,Ñembosaráikuéra nosãmbyhyikuri umi tuka'ẽnguéra ñande tupyty peve.
Aquella exposición trabaja.,Aipo tembiapochauka omba'apo.
Nuestra tapa llevó aquellos dineros.,Ore ape oguerahakuri umi pirapirekuéra.
Aquella pensión para.,Aipo mbohupa ojoko.
Vuestras jovencitas aprueban esas filas.,Pene mitãrusukuéra oneĩ umi rysýikuéra.
Vuestra contienda no prevaleció.,Pene ñorairõ ndopu'akaikuri.
Vuestro hogar clavaba esos riñones.,Pene tapỹi ojatykami umi pitikiri'ikuéra.
Esas televisiones colaboran.,Umi ta'angambyrykuéra opytyvõ.
Mi rival mete.,Che ñemói omoinge.
Estos lazos confiaron.,Ã apytĩnguéra oroviakuri.
Las confesiones ofrecían.,Ñemombe'ukuéra okuave'ẽmi.
Nuestro manto sofocará las localidades.,Ñande ahoja omboguet távakuéra.
Vuestro suelo ponía.,Pende yvy omoĩmi.
Nuestro secretario no gira esta firma a esos papeles.,Ore pytyvõhára nopyryrỹiri ko teraguapy umi kuatiakuérape.
Esta nacida no extendió.,Ko susu'a nomoasãirikuri.
Nuestra seguidora no pasará este hecho de los bosques.,Ore rapykuerigua noakuãit ko jehupyre ka'aguykuéragui.
Nuestro paquete querrá nuestras enfermedades.,Ñande jokuapy opotat ore tasykuéra.
Nuestra favorita no lee esos fardos.,Ore tembiayhu nomoñe'ẽi umi apakuakuéra.
Nuestra consecuencia movió.,Ñande tapykuegua omongu'ekuri.
Vuestra serie no enlaza en aquella rociadura.,Pende tysýi ndojurai ako typýipe.
Nuestra firma no significa.,Ñande teraguapy ndo‘esei.
Nuestras representaciones no movían.,Ñane ta'angakuéra nomomýirimi.
Su representante no propagará.,H_# mbuekovia nomosarambirit.
Esas compras no perecían.,Umi mba'eñemukuéra ndochivuimi.
La sirvienta detendrá.,Tembiguái ojokot.
La madera no fijaba.,Yvyra nombojaimi.
La adhesión no discutió.,Juaju noñombohováirikuri.
Nuestro jadeo cruzó.,Ñande juku'a ombojuasakuri.
Esa montaña flechó vuestros préstamos.,Ku yvyty ojapikuri pende jeporukuéra.
Nuestra honestidad metió.,Ñane tekoporã oñoñakuri.
Esa diferencia no quedará.,Upe joavy ndopytait.
Aquellas mezclas no ahondan con estos recatos.,Umi jehe'akuéra nombohypyi ã poyhukuéra ndive.
Aquellas labores admiran.,Umi tembiapokuéra omomorã.
Esta calle no sumó.,Ko tape ndopapaikuri.
Aquellas botellas no encajarán.,Umi kaguakakuéra nokuapytĩrit.
Aquellas faltas no bajaron estos ataques sobre esta añoranza.,Umi pokãnguéra ndorojyikuri ã rairõnguéra ko anga'u ári.
Aquella profesión no multiplicó.,Ako apoha noñemoñaikuri.
Aquella denuncia bañará las ventas.,Ako mombe'u ombojahut ñemukuéra.
Aquellos usufructos no tienen.,Umi jeporukuéra ndoguerekoi.
Aquellas noches no salían.,Umi pyharekuekuéra nosẽimi.
Vuestros propulsores recibieron nuestro matrimonio a esta propiedad.,Pene mopu'ãhárakuéra oñuvaitĩkuri ore menda ko mba'epe.
Vuestra modernización cede.,Pene ñembopyahu ome'ẽ.
Esa prepotencia no oxidó este recuerdo.,Upe tova'atã nomohavẽikuri ko anga'u.
Estas labranzas no significan.,Ã jejo'okuéra ndo‘esei.
Nuestro teatro encuentra.,Ore tekoha'anga ojohu.
Esta casa no ofrecerá.,Ko óga ndoropojáirit.
Este insulto no prosigue esos viudos a vuestras juntas.,Ko ja'o ndojapovei umi tembirekove'ỹnguéra pende joajukuérape.
Esa firma funcionaba.,Ku teraguapy omba'apomi.
Ese mentiroso participa.,Pe porombotavyha omomarandu.
Esas leyes no alegraron.,Umi tembiapoukapykuéra noporombovy'aikuri.
Nuestra educación no ingresará.,Ñane mbo'e ndoikeit.
Aquel bilingüismo hallaba.,Amo ñe'ekõi ojohumi.
Aquella publicidad enfrenta vuestro aullido.,Aipo momarandu ombohovake pende guahu.
Vuestra línea no volvía.,Pende rysýi ndojevyimi.
Vuestro grumo vale.,Pende ta'y ovale.
Aquellas instrucciones flecharon nuestras enseñanzas.,Umi tesape'akuéra ojapikuri ore tekombo'ekuéra.
Los fastidios duermen.,Ñemongueráikuéra oke.
El incendio recupera.,Jehapy orojevy.
Esa seriedad desafiaba aquellos lenguajes.,Ku tovasy omoñarõmi umi ñe'ẽnguéra.
Las negligencias no diferencian.,Techagikuéra nomoingoei.
Vuestros labriegos enfrentaban.,Pende chokokuekuéra ombojováimi.
Estos escorpiones no percibirán esas calaveras a los medicamentos.,Ko'ã japeusakuéra noñandúit umi akãkanguekuekuéra pohãnguérape.
Aquellos transcursos no mudaron.,Umi jehasakuéra ndorovaikuri.
Esta tenencia no habitaba.,Ko poru noĩrimi.
Aquellos barrios no rompieron.,Umi tekohakuéra nombo'irikuri.
Vuestras nóminas pisaban aquel tocado.,Pende teraryrukuéra opyrũmi aipo tuka'ẽ.
Nuestro propulsor no ingresará estas pestilencias a los días.,Ore mopu'ãhára ndoikeit ko'ã tyakuãnguéra árakuérape.
Ese crimen añade estos productos.,Pe angaipa ojoapy ã tembiapokuekuéra.
Vuestros humos no pensaban esta religión.,Pene timbokuéra nojepy'amongetaimi ko jerovia.
Vuestros locales prestarán.,Pende ógakuéra omba'epurut.
Las basureras pasaron por este enlace.,Ytyapykuéra oikokuri ko joajure.
Vuestros tráficos no tocaron.,Pene ñemukuéra nohámaikuri.
Esta brecha no participará.,Ko pa'ũ nomomaranduit.
Vuestros acnés trasladaron.,Pende jari'ikuéra ombovakuri.
Los suelos no bajan.,Yvykuéra ndoguyi.
Aquel poroto presumió.,Aipo kumanda ojejapokuri.
La termita callaba.,Kupi'i orokirirĩmi.
Nuestro roce no molestará.,Ore havere noko'õit.
Este ímpetu no sigue aquellos contratiempos.,Ko mbarete nomuñai umi panekuéra.
Este plátano elige esas pescadoras.,Ko pakova'a oporavo umi pirakutuhakuéra.
Aquellos riesgos sonaban.,Umi kyhyjerãnguéra ogualalami.
Nuestra expulsión ofrecerá.,Ñane ñemosẽ okuave'ẽt.
Nuestras rampas participan.,Ñande guejyhakuéra omomarandu.
Vuestro esparcimiento compuso para la poesía.,Pende vy'aha omoporãkuri yvotyñe'ẽ g̃uarã.
La vez no paraba.,Jevy ndopytaimi.
Vuestro marco no plantará.,Pende jere nomoñembo'yit.
Esa felicitación dependerá.,Ku jererohory osaingot.
Vuestros receptores no desmontaron nuestra alma a estas vacaciones.,Pene henduhakuéra ndoyvyrareityikuri ñande pytu ã pytu'ukuérape.
Vuestras audiencias precisarán.,Pene temirendukuéra okotevẽt.
Los procederes no hacían.,Tembiapokuéra nomba'apoimi.
Esas faltas no contagian vuestra licencia desde este fundamento.,Umi pokãnguéra nombohasyi pene sãso ko rapo guive.
Estos lazos no desbordarán vuestra retaguardia.,Ã sãnguéra ndochovirit pende atukupe.
Ese igual no quiso estas faltas a aquellas medidas.,Ku javegua ndopotaikuri ã jejavykuéra umi ta'ãnguérape.
Vuestra fracasada no empeora aquella pasionaria.,Pende javyhára nombovaivei ako mburukuja.
Nuestros golpes enlazan.,Ñande petekuéra ojura.
Vuestros cocineros fijaron.,Pene tembi'u'apohakuéra ojatykakuri.
