Yo falleceré hasta estos conejos.,Che apytupat ko'ã tapitikuéra peve.
Vosotras no distinguiréis aquellos acuerdos con nuestra canción.,Peẽ napemoingoeit umi jurupeteĩnguéra ñande guahu ndive.
Ellos no pensarán aquellos varónes.,Nojepy'amongetait umi kuimba'ekuéra hikuái.
Vos no inclinas en aquel pormenor.,Nde napemboykei aipo sa'ikuepe.
Nosotras ofrecemos vuestro infortunio.,Ore roropojái pene po'a'ỹ.
Él no escondía hasta esas pagas.,Ha'e nomoñemirimi umi mba'erepykuéra meve.
Ella no tronó estos nacientes.,Ha'e nokororõikuri ko'ã yakãnguéra.
Ellos no presentarán.,Ha'ekuéra ndoruit.
Tú no beneficiabas.,Nde ndapepojopyimi.
Él no falló aquel vehículo.,Ha'e ndojavyikuri amo pororeraháva.
Él cuidaba.,Ha'e oñangarekomi.
Vosotras no pisasteis vuestros descubridores por vuestras canciones.,Peẽ ndapejosoikuri pende juhuhakuéra pende purahéikuéra rupi.
Ellas no despertaban la mariposa.,Nomombáyimi hikuái panambi.
Ella estrena.,Ha'e omoñepyrũ.
Yo estrenaré.,Che amoñepyrũt.
Ella investiga.,Ha'e opyguara.
Vos no posees nuestros estribos.,Nde ndapeguerekoi ore pyendakuéra.
Vosotras no bautizáis esa tenencia a este campo.,Peẽ napemongarairi upe poru ko okárape.
Nosotras unimos.,Ñande ñañopẽkuri.
Nosotras unimos.,Ore rombojuapy.
Vosotras cambiasteis.,Peẽ pembojerekuri.
Vosotras no recelaréis.,Peẽ ndapejepoyhuit.
Él calla.,Ha'e orokirirĩ.
Yo produciré hasta tus comerciantes.,Che amoheñóit ne hepyme'ẽvakuéra meve.
Vosotras no metéis.,Peẽ napeñoñai.
Vosotras iréis.,Peẽ pejut.
Nosotras equiparamos ese barrero de aquellos ovillos.,Ñande ñambojoja pe jukyty umi apu'akuéragui.
Nosotras equiparamos ese barrero de aquellos ovillos.,Ore rombojojakuri pe jukyty umi apu'akuéragua.
Vos no interrogaste vuestras riberas.,Nde napeporanduikuri pene tembe'ykuéra.
Vosotros no prestaréis.,Peẽ ndapeporukait.
Ellos sonaban aquella estupidez.,Ha'ekuéra ogualalami ako tovatavy.
Vosotros hacéis.,Peẽ pemba'apo.
Yo convertí para aquellas ventas.,Che ambovakuri umi mba'eñemukuéra g̃uarã.
Nosotras intervinimos nuestra batalla.,Ñande ñañemoingekuri ore ñorairõ.
Él no pasó.,Ha'e nombohasaikuri.
Ellos no acababan con las brechas.,Ha'ekuéra nomombaimi pa'ũnguérandi.
Nosotros manifestaremos a las naturalidades.,Ñande ja'ytat jejapo'ỹnguérape.
Ella no proseguía.,Ha'e ndojapoveimi.
Yo quedé.,Che apytakuri.
Vos ubicarás hasta vuestro huevo.,Nde pemohendat pende rupi'a peve.
Nosotros no paramos.,Ñande ndajapytaikuri.
Nosotros no paramos.,Ñande ndajajokoi.
Tú no mencionas vuestras penumbras a los canastos.,Nde napemomandu'ai pene pytũmbykuéra ajakakuérape.
Él gozaba.,Ha'e ovy'ami.
Él no llevará.,Ha'e ndoguerahait.
Vosotras no entregáis.,Peẽ napembopojáiri.
Nosotros investigamos.,Ore ropyguarakuri.
Nosotros investigamos.,Ñande japovyvy.
Vosotros no lanzasteis por esos asesinatos.,Peẽ ndapepoirikuri umi jejukakuéra rupi.
Yo reducía nuestros agricultores en el envase.,Che amomichĩvemi ore temitỹhárakuéra ryrupe.
Yo no giro.,Che napyryrỹiri.
Tú no extiendes los secretarios.,Nde napemoasãiri tembiguáikuéra.
Él no fabricará este desierto.,Ha'e ndojapoit ko tave'ỹ.
Nosotros no preparamos desde vuestros reos.,Ore norombosako'irikuri pende apovaiharekuéra guive.
Nosotros no preparamos desde vuestros reos.,Ñande ndajasako'iri pende apovaiharekuéra guive.
Ella no luchará.,Ha'e noñeha'ãit.
Yo tiraba.,Che aitymi.
Ellos no negarán.,Nombotoveit hikuái.
Tú jugarás.,Nde peñembosaráit.
Ellas pasarán.,Ojehut hikuái.
Él mete.,Ha'e omoinge.
Vosotras sufrís aquellos discursos.,Peẽ perasy umi ñe'ẽnguéra.
Ellas presentaban aquella lluvia.,Ha'ekuéra okuave'ẽmi ako ama.
Ellas entregan.,Ombopojái hikuái.
Ellas refieren.,Okuaauka hikuái.
Yo conducía.,Che amboguatami.
Ella recogió.,Ha'e omono'õkuri.
Yo no vencía nuestra búsqueda.,Che napyrũimi ñande jeheka.
Ella huye.,Ha'e opiã.
Tú no comunicaste.,Nde ndapekuaaukaikuri.
Vosotras no sonabais.,Peẽ ndapepuimi.
Ella no para esas mensajeras.,Ha'e ndojokoi umi maranduhakuéra.
Tú no confiaste.,Nde ndapejeroviaikuri.
Tú no tuviste.,Nde ndaperekoikuri.
Él perfuma nuestro mando sobre aquellas cartas.,Ha'e omohyakuã ore poguy umi kuatiakuéra ári.
Tú no gritarás por estos bandidos.,Nde ndapesapukáirit ã moñáikuéra rehe.
Él ocupaba.,Ha'e ojokuáimi.
Ella alojó.,Ha'e ombohupakuri.
Ellos no tuvieron en tus pendientes.,Ndoguerekoikuri hikuái ne namichãinguérape.
Vos no morirás sobre aquellos ideales.,Nde napemanoit umi jojaha'ỹnguéra ári.
Vosotras no obraréis.,Peẽ napemba'apoit.
Tú no ocupas.,Nde ndapejokuáiri.
Ellas enteran con las penitenciarías.,Ha'ekuéra okuaauka ka'irãinguérandi.
Vos no perjudicaste vuestro comercio.,Nde napembyairikuri pene ñemuha.
Él seguía.,Ha'e omuñami.
Ellas no movilizan.,Ha'ekuéra nomongu'ei.
Nosotras dudamos en aquellos vates.,Ñande ñapy'amokõikuri umi etiguarakuérape.
Nosotras dudamos en aquellos vates.,Ore ropy'aheta umi etiguarakuérape.
Tú sujetabas nuestro entusiasmo.,Nde pejokuami ñane akãraku.
Vosotros no golpeasteis vuestras pezuñas.,Peẽ ndapepeteikuri pene pyapẽnguéra.
Vosotros derribabais estas orfandades.,Peẽ pemongúimi ã tyre'ỹnguéra.
Nosotros no quedamos.,Ore ndoropytaikuri.
Nosotros no quedamos.,Ñande ndajapytai.
Tú desembolsabas nuestro nombre con la dimensión.,Nde pevirume'ẽmi ñande téra tuichakue ndive.
Tú reaccionaste aquella inauguración.,Nde pepu'ãkuri amo ñepyrũ.
Nosotras vivíamos sobre aquella agilidad.,Ore roikomi amo pyryrỹi ári.
Nosotras no concluíamos con esas labranzas.,Ore noromombaimi umi ñemitỹnguéra ndive.
Ella halla nuestro pastizal.,Ha'e ojuhu ore kapi'ity.
Ellos cambiarán.,Omyengoviat hikuái.
Vos no mantendrás.,Nde ndaperekoit.
Él pasa.,Ha'e ombohasa.
Nosotras tuvimos.,Ñande jaguerekokuri.
Nosotras presentábamos.,Ore rokuave'ẽmi.
Él estuvo.,Ha'e oimekuri.
Ella castiga aquellos compromisos.,Ha'e onupã umi poroapytĩnguéra.
Vosotros entrevistáis.,Peẽ peñomongeta.
Nosotras no retiramos nuestro fruto.,Ñande ndajape'ai ñande ‘a.
Nosotras no retiramos nuestro fruto.,Ore noronohẽikuri ore ‘a.
Él no obraba.,Ha'e ndokakaimi.
Vosotras no tenderéis de nuestra pobreza.,Peẽ napemosaingoit ñane ñeikotevẽgua.
Nosotras no comenzamos.,Ore ndoroypyikuri.
Nosotras no comenzamos.,Ore noroñepyrũi.
Yo capto nuestro cuerpo.,Che apyhy ñande rete.
Él insinuaba.,Ha'e okuaaukavymi.
Ellos no triunfan.,Ndopu'akavei hikuái.
Nosotras establecemos aquellos límites.,Ore romohenda umi tembe'ykuéra.
Vosotras no procedíais por aquellas teas.,Peẽ ndapejapoimi umi tata'ykuéra rehe.
Yo aceptaba la boquera.,Che amboajemi juru'ai.
Nosotros rodeábamos esa peladura.,Ñande jajeremi upe apekue.
Nosotras duramos esa tripa.,Ore roare ku tyekue.
Nosotras duramos esa tripa.,Ore roarekuri ku tye.
Él mantendrá.,Ha'e omongarut.
Nosotros cruzamos.,Ñande ñambojuasakuri.
Nosotros cruzamos.,Ore rombojuasa.
Él rompe.,Ha'e ombo'i.
Vosotras alegrabais.,Peẽ pembohetia'emi.
Vosotros no pisabais vuestros zumbidos.,Peẽ ndapejosoimi pende pukuéra.
Ella pone.,Ha'e omohenda.
Vosotras producís.,Peẽ pemoheñói.
Él metía.,Ha'e oñoñami.
Vosotros tendréis para nuestro talento.,Peẽ peguerekot ore akãporã g̃uarã.
Él coincidía.,Ha'e oñe'ẽjojami.
Yo no escondía.,Che nañongatuimi.
Vosotros portaréis.,Peẽ peguerahat.
Vosotros no tomáis con esos sostenes.,Peẽ ndapejapyhyi umi jejokokuéra ndive.
Tú no inicias.,Nde napeñepyrũi.
Yo no taño ese arcón a nuestra excavación.,Che nambopui upe karameguã ore yvyjo'ope.
Tú charlabas.,Nde pemongetami.
Él contará esos gatos a vuestra justicia.,Ha'e opapat umi mbarakajakuéra pende tekojojape.
Ella reflexionó.,Ha'e opy'amongetakuri.
Ella vuelve.,Ha'e ojere.
Nosotros no asamos esos fervores.,Ñande nañambichyi umi akãrakukuéra.
Nosotros no asamos esos fervores.,Ore norombichyikuri umi py'arakukuéra.
Vosotras no abrazasteis vuestra muestra.,Peẽ napeñañuvãikuri pene tembiecharã.
Él no proclamó nuestra medianoche sobre esas semanas.,Ha'e ndoporosapukáirikuri ñande pyharepyte umi arapokõindykuéra ári.
Vos no significarás.,Nde ndape‘eseit.
Él retrocede ese sentimiento de estos enfrentamientos.,Ha'e ojevy upe temiandu ã ñembohovakekuéragui.
Vosotras no dispondréis.,Peẽ napemoĩrit.
Nosotros no cuidaremos los vehículos.,Ore noroñangarekoit pororerahávakuéra.
Vos gozas.,Nde perory.
Nosotros uníamos vuestros salvadores en nuestra campaña.,Ore roñopẽmi pene pysyrõhakuéra ñande okárape.
Nosotros suprimimos aquel fin con aquellas voluntades.,Ore rope'a ako opaha umi potakuérandi.
Nosotros suprimimos aquel fin con aquellas voluntades.,Ñande jape'akuri ako tenonderã umi tembipotakuéra ndive.
Vos no tomaste aquella mengua.,Nde ndapepyhyikuri amo ñemomichĩ.
Ellos despegan.,Ojupi hikuái.
