Tú tomarás.,Nde pejapyhyt.
Ella entregaba por los libros.,Ha'e ombohasami kuatiakuérare.
Nosotros no diferenciamos nuestra relación a nuestro flagelo.,Ore noromoingoei ñande jokuaa ñane tukumbope.
Nosotros no diferenciamos nuestra relación a nuestro flagelo.,Ore noromoingoeikuri ore jokuaa ore tukumbope.
Vosotras no presentaréis.,Peẽ ndapegueruit.
Vos formabas las farmacéuticas.,Nde pemoha'angami pohanohárakuéra.
Tú pudiste nuestro naciente.,Nde peikatukuri ñane ñesẽ.
Nosotras abríamos aquellos dueños.,Ñande ñamboty'omi umi járakuéra.
Ellas no componen esta farmacéutica.,Ha'ekuéra ndopyahai ko pohanohára.
Nosotras no colaboramos.,Ñande nañañopytyvõikuri.
Nosotras no colaboramos.,Ñande nañapytyvõi.
Vos tumbaste.,Nde pemongúikuri.
Ellas no impulsaban aquel igual.,Ha'ekuéra nomomymýirimi amo joguaha.
Ella no alumbraba aquella vereda.,Ha'e nomuataindyimi amo guataha.
Nosotros acompañamos el hornillo.,Ñande ñamoirũ tatarenda.
Nosotros acompañamos el hornillo.,Ore romoirũkuri tatarenda.
Tú no comunicas.,Nde napemomarandui.
Vosotros llegabais.,Peẽ peguahẽmi.
Tú pones esos recursos a este partidario.,Nde pemohenda umi poruhakuéra ko rapykueriguape.
Tú pones esos recursos a este partidario.,Nde pemohenda umi jerekohakuéra ko rapykueriguape.
Nosotras no prepararemos.,Ñande nañambosako'irit.
Ellas preguntaron las suturas.,Ha'ekuéra oporandukuri ñembovyvykuéra.
Él no pronuncia.,Ha'e ndeho'yita.
Él trabajaba.,Ha'e omba'apomi.
Vosotros vinisteis.,Peẽ pehua'ĩkuri.
Yo no ahorraré vuestros sons.,Che nañongatuit pende pukuéra.
Vos habrás vuestras diosas.,Nde peimet pene ñandejárakuéra.
Yo vivo.,Che aiko.
Ellas no llevaban.,Ndorahaimi hikuái.
Tú desordenas nuestros detalles.,Nde pemosarambi ñande sa'ihakuéra.
Tú tocarás estas donaciones.,Nde peñatõit ã ñeme'ẽnguéra.
Vos no lamentabas.,Nde ndaperojahe'oimi.
Vosotras obraréis.,Peẽ pekakat.
Yo privo.,Che ape'a.
Vosotras no extendéis.,Peẽ napemosarambiri.
Yo creí este sacerdote.,Che aimo'ãkuri ko pa'i.
Tú prescribías las cenas.,Nde pejapoukami karukuéra.
Él rompía.,Ha'e omondohomi.
Ellos no pisarán nuestro heredero.,Nomongu'irit ñane jararã hikuái.
Tú no bajabas esta fracción.,Nde napemboguejyimi ko pehẽngue.
Yo freía estos teatros.,Che ambochyryrymi ko'ã tekochaukakuéra.
Ellos encontraron nuestro rastro.,Ojuhukuri ñande tapykuere hikuái.
Nosotras reformamos esta localidad.,Ore romyatyrõ ko táva.
Nosotras reformamos esta localidad.,Ore romyatyrõkuri ko táva.
Ellas no hallan aquel clube.,Ndojuhui hikuái aipo klu.
Nosotros preparábamos.,Ñande jasako'imi.
Él esperaba.,Ha'e ojeroviami.
Nosotras no unimos con las siestas.,Ñande nañambojojaikuri asajekuérandi.
Nosotras no unimos con las siestas.,Ñande nañañopẽi asajekuéra ndive.
Vosotros desarrollaréis.,Peẽ pemopu'ãt.
Ellas no leerán.,Nomoñe'ẽit hikuái.
Ella anochecía nuestro sitio.,Ha'e oñembopyharemi ñane ñemongora.
Nosotros cobijamos.,Ñande ñañuvãkuri.
Nosotros cobijamos.,Ore rojaho'i.
Vos dirigías.,Nde pesãmbyhymi.
Vosotros no mantendréis.,Peẽ ndaperekoit.
Ellas paran.,Ha'ekuéra opyta.
Vosotras hablasteis a vuestro local.,Peẽ pemongetakuri pende ógape.
Ella no empuja aquellos resoplidos.,Ha'e nomuañai umi tĩmbukuéra.
Nosotras presentamos.,Ore rokuave'ẽkuri.
Nosotras presentamos.,Ore rokuave'ẽ.
Vosotras calláis.,Peẽ perokirirĩ.
