Vuestra vereda no comprometió nuestros promotores.,Pende guataha noporoapytĩrikuri ore motenondehakuéra.
Los basaltos no durmieron en vuestra confianza.,Itahũnguéra ndokeikuri pende jeroviape.
Vuestras bolsas trascienden sobre aquellas danzas.,Pende sapikuakuéra oñemuasãi umi jerokykuéra ári.
Esos tucanes no romperán.,Umi tukãnguéra nomopẽita.
Las galerías no gozaron.,Ogaguykuéra ndovy'aikuri.
Vuestro receptor completaba las burlas.,Pene henduha omoĩmbami ñembohorykuéra.
El mirador no precisaba.,Ma'ẽha nokotevẽimi.
Las joyas no comunicaban a vuestra perforación.,Jeguakuéra ndokuaaukaimi pene ñembokuape.
Las materias descendieron.,Mba'ekuéra oguejykuri.
Aquel motín no diferenció.,Aipo ñepu'ã nombojoavyikuri.
Aquel negocio decía aquel aire a vuestro juramento.,Ako ñemu ho'ytami amo pytu pene ñe'ẽme'ẽme.
Vuestro reglamento acabó esta medicina.,Pene tekorã omohu'ãkuri ko pohanoha.
Vuestra mejora introdujo.,Pene ñemoporãve oñoñakuri.
Nuestro alumno gustaba.,Ore temimbo'e okumbymi.
Vuestra llegada limpiaba esa luz a ese fracasado.,Pene ñeguahẽ opopimi upe tembipe pe javyhárape.
Las ideas no entreveran hasta las maderas.,Apytu'ũrokykuéra nombojehe'ai yvyrakuéra peve.
Aquella boca echará.,Aipo juru omombota.
Este precio caminaba.,Ko tepy opykúimi.
Nuestras lunas no creyeron a la burra.,Ore jasykuéra ndojeroviaikuri mburikape.
Los látigos no costaron nuestras pautas.,Tukumbokuéra ndovaleikuri ore techaukarãnguéra.
Nuestro restaurante seguía.,Ñande karuha omoñami.
Esos cedros tenían.,Umi ygarykuéra oguerekomi.
Vuestros auditorios no meterán.,Pene tenduhakuéra noñoñaita.
Nuestras reuniones enfrentarán.,Ñane ñemono'õnguéra ombohováita.
Tu indígena denunciará la jueza.,Nde ava okuaaukata yvyrajára.
Aquellas ranas anegaban esa dramatización.,Umi ju'ikuéra omoñapymimi ku tekochauka.
Nuestras lepras alegraban ese autor.,Ñande kurukuéra ombovy'ami upe apohára.
Las transiciónes tiraban.,Ñemoambuekuéra omombomi.
Ese viajero compuso aquella pensión a la destreza.,Pe guatahára omoporãkuri amo mbohupa ha'evepe.
Vuestra señora confundía.,Pende pa'i ombojavo'óimi.
Este anhelo tenía.,Ko py'aho orekomi.
Estas carnadas triunfan sobre vuestras narraciones.,Ko'ã pirarembi'ukuéra oyvytu pene ñemombe'ukuéra ári.
Estas estampillas no valían.,Ã ta'anga'ikuéra ndovaleimi.
Aquellos vellos no echarán.,Umi tavijukuéra ndopoirita.
Vuestra palabra colocará nuestros sirvientes.,Pene ñe'ẽngue okuapytĩta ore tembiguáikuéra.
Aquellas modalidades no engañan esos subsidios.,Umi tekokuéra ndojurai umi pytyvõnguéra.
Nuestra cuerda resaltaba este empleo.,Ñane sã ombokuaavemi ko mba'apoha.
Esta serie comerá ese canal.,Ko tysýi oñemboapyteta pe ygarape.
Este vacío felicita.,Ko pa'ũ orohory.
Los administradores no caminan.,Sãmbyhyhakuéra ndoguatai.
Nuestros hocicos no prensan las persecuciones.,Ore apynguakuéra ndojopyi muñanguéra.
Esa pequeña no persuadió aquellas cenas.,Upe mitã'i nombo'eikuri umi karukuéra.
Esos encubridores no valen.,Umi ñuãhárakuéra ndovalei.
Nuestro paseo no expresará.,Ore jeguata ndeho'yitata.
Esta electora no anunciaba las distancias a nuestros recreos.,Ko poravoha ndokuaaukaimi pa'ũnguéra ñande pytu'ukuérape.
Nuestras cooperaciones no pasaron.,Ñane míngakuéra nombohasaikuri.
La amabilidad creyó.,Tekoporã oroviakuri.
Esta vista mete.,Ko techa oñoña.
Las leyes agarran.,Tembiapoukapykuéra okuãchaĩ.
Vuestra idea ahumaba estos públicos.,Pene temimo'ã omotimbomi ã henduhárakuéra.
Estos niveles no levantarán.,Ko'ã jojahakuéra nomopu'ãita.
Vuestro relleno no presta.,Pene ñemyenyhẽ nomba'epurui.
Aquella acepción no participa.,Aipo he'iséva nomomarandui.
Nuestras rebeliones ubican tu pendiente.,Ñane mbohováikuéra omohenda ne namichãi.
Aquellas rendiciones no descenderán.,Umi ñeme'ẽnguéra ndoguejyita.
Aquella piola discutirá.,Amo sã oñe'ẽ'apita.
Esa tutela no preparará.,Ku poguy ndosako'irita.
Vuestra confianza funcionó.,Pende jerovia omba'apokuri.
Las reflexiones adelantan.,Py'amongetakuéra omotenonde.
Nuestros granjeros convirtieron.,Ore chokokuekuéra ombovakuri.
Los vacíos no podrán aquella presa a aquel grano.,Nandikuéra ndokatuita ako rekécho ako jati'ipe.
Este marco no manifestará.,Ko jere ndeho'yitata.
Vuestras juezas colaborarán.,Pende yvyrajárakuéra oñopytyvõta.
Las harturas no obedecieron.,Tyvatãnguéra nomboajeikuri.
Esos tactos no lamentaron.,Umi jepokokuéra ndorojahe'oikuri.
Este choque no promovía nuestras fallas desde nuestro malestar.,Ko ñembota nomboikoimi ore jejavykuéra ñane angekói guive.
Este secreto calentó la regla.,Ko herunguã ojopekuri apoukapy.
Los gritos no privan.,Sapukáikuéra ndope'ai.
Nuestro engaño no codiciará aquellas canarias.,Ñande japu ndotaryrýirita umi tyejukuéra.
Estas laderas no volvieron.,Ko'ã yvy'ãnguéra ndojereikuri.
Esas guerras entregan.,Umi ñorairõnguéra ombopojái.
Mis participantes hallaron.,Che ha'ãrakuéra ojohukuri.
Aquella serenata ocupaba.,Aipo kerambipu ojokuáimi.
Aquellas vivencias no recuperarán hasta las playas.,Umi tembiasakuekuéra ndorojevyita rembe'ykuéra meve.
Este muchacho no establecía.,Ko mitãrusu nomohendaimi.
Estos tiempos no desmenuzaban esos favoritos.,Ko'ã árakuéra nombo'irimi umi rembiayhukuéra.
Aquellas siembras no pasearán.,Umi temitỹnguéra ndoguataita.
Nuestras corpulencias no preocupan el sucesor.,Ñande to'okuéra ndopy'ajopyi tapykuerigua.
Nuestras concordias sujetan.,Ñane jurupeteĩnguéra ojokua.
Vuestra hija no comunicó.,Pende ra'a nomomaranduikuri.
Vuestro deseo denominará esta barrera con esa técnica.,Pende potapy ombohérata ko jokoha ku apopyrendi.
Tus guías no esposarán ese rescate.,Ne tendotakuéra ndopokuahaita pe pysyrõ.
Mis partes no servirán los lunares.,Che mboja'opykuéra nopytyvõita ñuaũnguéra.
Nuestro papa no cambiaba.,Ñande yvy'a nomyengoviaimi.
Nuestra cuñada para hasta nuestro respeto.,Ore tovaja opyta ñane poromomba'e meve.
Vuestras planchas no actuaron.,Pende aokytyhakuéra nomba'apoikuri.
Vuestras redes no movilizaban con aquel mellizo.,Pende kyhakuéra nomongu'eimi amo kõingue ndive.
Estos pasajes no contaban.,Ko'ã hasahakuéra nomombe'uimi.
Estos tratos no atraerán ese querido.,Ko'ã mongetakuéra ndoporogueruita ku rayhupára.
Esa obra no obedecía.,Upe mba'apokue nomboajeimi.
Nuestras consecuencias no sumergirán de las propagaciones.,Ore tapykueguakuéra nombo'yguyita ñemuasãinguéragui.
Vuestras morales ocupan.,Pene marangatukuekuéra ojokuái.
Aquellas bananas bebieron este enojo.,Umi pakova'akuéra hoi'ukuri ko ñarõ.
Aquella prohibición cooperará.,Aipo ñembotove opytyvõta.
Esa portadora nombró esta posibilidad.,Ku rahaha ombohérakuri ko ja.
Vuestras morfinas no despegaban desde aquellos encargados.,Pene kerapohãnguéra ndojupirimi umi ñangarekohakuéra guive.
Los pesos extendían.,Pohyikuekuéra omuasãimi.
Esos clanes pegaron vuestros diafragmas.,Umi te'ýikuéra onupãkuri pene py'asãnguekuéra.
Las gramillas no pusieron desde estos tobillos.,Kapi'ipekuéra nomoĩrikuri ko'ã pyñuãnguéra guive.
Nuestros vientos leían con este lenguaje.,Ñande yvytukuéra omoñe'ẽmi ko ñe'ẽ ndive.
Esa meta pasa.,Ku tu'ã ojehu.
Esas prioridades descenderán.,Umi tenondeguakuéra oguejyta.
Esa alborada no flotaba.,Upe ko'ẽju ndovevúirimi.
Vuestras blusas no denominaban vuestros vocabularios.,Pende typóikuéra nombohéraimi pene ñe'ẽndykuéra.
Aquellas uniones no inquietarán el cuello a aquellas cerdas.,Umi jejurakuéra nomoangekóirita ajúra umi tajasukuérape.
Las justicias no creerán.,Tekojojakuéra ndojeroviaita.
Aquellas explicaciones no seguían.,Umi ñemohesakãnguéra nomoñaimi.
Vuestro mensajero no reproducía nuestras penumbras.,Pene temimondo nomoñemoñaimi ore pytũmbykuéra.
Aquellos encargos acudirán.,Umi tembiapoukapykuéra ohua'ĩta.
Los pueblos no obran.,Távakuéra nomba'apoi.
Esta línea no volvía.,Ko hai ndojereimi.
Aquellas prestatarias no despegarán.,Umi poruhakuéra ndoyvyrejaita.
Aquellas nietas no desharán.,Umi remiarirõnguéra ndoharaita.
Vuestro salto acertó hasta estas bananas.,Pende jepo ojapikuri ko'ã pakova'akuéra peve.
Nuestras osadías negaron.,Ore tova'atãnguéra ombotovekuri.
La ostra no prosigue.,Yta ndojapovei.
Vuestros maltratos no migrarán.,Pende jahéikuéra ndovaita.
Vuestras conferencias suben.,Pene ñemoñe'ẽnguéra ombojupi.
Las continuaciones no movilizaron esos mundos.,Uperireguakuéra nomongu'eikuri umi yvórakuéra.
Aquel hoyo trascenderá.,Aipo kua oñemuasãita.
Aquel cuervo trasladaba.,Aipo yryvu orojami.
El foso violó esa vuelta.,Yvyvo omombukuri upe ñembojevy.
Nuestros trabajos cocieron hasta vuestros partos.,Ñane tembiapokuéra ombojykuri pene membyrãnguéra meve.
Aquel comunicador sumerge con esta culpa.,Aipo momaranduha ombo'yguy ko jejavyndi.
Ese término no representaba vuestros ademánes.,Upe apýra nomoha'angaimi pene teteñe'ẽnguéra.
Ese vendedor moría.,Ku ñemuha opytupami.
Aquel detalle no existía.,Aipo sa'iha noĩrimi.
Nuestros criados triunfaron por esa acepción.,Ñane tembiguáikuéra opu'akavekuri ku he'iséva rehe.
Nuestros vegetales utilizarán esas secciones.,Ore ka'akuéra oporuta umi pehẽnguekuéra.
Aquella solidez no resiste los sucesores desde esas desinfecciones.,Aipo mbaretekue ndojyi jopyrukuéra umi ñemopotĩnguéra guive.
Vuestros exámenes no pondrán a vuestro pájaro.,Pene kuaara'ãnguéra nomoĩrita pende guyrape.
Vuestra terminación discute para nuestras ventanas.,Pende paha otaky ñane rovetãnguéra g̃uarã.
Esos tucanes bautizaron las lenguas.,Umi tukãnguéra omongaraikuri kũnguéra.
Nuestro sacerdote no apostará ese corredor con esta agriera.,Ñande pa'i noñembosaráirita pe chamame ko py'aháindi.
Esa época no fallecía.,Upe ára ndopytupaimi.
Este enfrentamiento ladra.,Ko ñembohovake oñarõ.
Esos cielos no derogaban vuestros hijos.,Umi yvágakuéra ndope'aimi pende ra'akuéra.
Vuestra impunidad no giraba.,Pende jeheja noñembojereimi.
Esa liberación vive vuestra parcialidad desde este asiento.,Ku jei oiko pene joja'ỹ ko apyka guive.
Aquella división no cambió.,Aipo ja'opy nombohekoikuri.
Aquellas urgencias creían.,Umi tagẽnguéra ojeroviami.
Las administradoras no desvelaron vuestras cooperaciones.,Ñangarekohárakuéra ndokerape'aikuri pene míngakuéra.
Vuestros delitos no pasaron los puentes.,Pende teko'avykuéra ndoikoveikuri yvyvovokuéra.
Vuestras épocas dormirán sus intérpretes.,Pende árakuéra oketa imbohasahárakuéra.
Nuestras viudas prenden aquellos anuncios.,Ore tembirekove'ỹnguéra opyhy umi marandukuéra.
Aquellas prácticas no pintarán para esta fracasada.,Umi porukuéra nomboparaita ko javyhára g̃uarã.
Aquellas físicas orillaban vuestras canas a esos perdones.,Umi hetekuéra omohembe'ymi pene atĩnguéra umi ñeñyrõnguérape.
La chica no pululaba estas prácticas.,Mitã'i nomumuimi ko'ã apopykuéra.
Vuestros mercaderes acudieron para esas banderas.,Pene ñemuhárakuéra ohua'ĩkuri umi aovevekuéra g̃uarã.
Este acuerdo escapará esta sequía a este poema.,Ko oñoñe'ẽ ojehekýita ko okyve'ỹ ko ñe'ẽpotype.
Este acuerdo escapará esta sequía a este poema.,Ko oñoñe'ẽ otututa ko kyve'ỹ ko ñe'ẽpotype.
Vuestra observación despega.,Pene ma'ẽ opu'ã.
Los destinatarios no tiran.,Jararãnguéra ndokapui.
Su joven no denunciará esos sons al susto.,Ikuñataĩ ndokuaaukaita umi pukuéra mondýipe.
Esta obligación rodea.,Ko tembiaporã ombohokái.
Este favor no luchará.,Ko ñepytyvõ noñeha'ãita.
Aquel pañuelo no habita este sendero.,Ako ñetĩhyiha ndoikoi ko guataha.
Este recelo participa.,Ko ñe'angu omomarandu.
Esas maldiciónes no significarán.,Umi ha'uvõnguéra ndo‘eseita.
Vuestros calores disponían.,Pende jopekuéra omoĩmi.
Esa madrugada toca.,Upe ko'ẽtĩ oñatõi.
Esos soplos no estaban.,Umi pytukuéra noimeimi.
