achúrakuera,achúra,N,C,0,P,menudencias,menudencia,N,C,F,P
aguape,aguape,N,C,0,S,nenúfar,nenúfar,N,C,M,S
aguapekuera,aguape,N,C,0,P,nenúfares,nenúfar,N,C,M,P
aguapeaso,aguapeaso,N,C,0,S,flamenca,flamenco,N,C,F,S
aguapeasokuera,aguapeaso,N,C,0,P,flamencas,flamenco,N,C,F,P
aguapeaso,aguapeaso,N,C,0,S,flamenco,flamenco,N,C,M,S
aguapeasokuera,aguapeaso,N,C,0,P,flamencos,flamenco,N,C,M,P
ahoja,ahoja,N,C,0,S,frazada,frazada,N,C,F,S
ahojakuera,ahoja,N,C,0,P,frazadas,frazada,N,C,F,P
ahoja,ahoja,N,C,0,S,manta,manta,N,C,F,S
ahojakuera,ahoja,N,C,0,P,mantas,manta,N,C,F,P
ahoja,ahoja,N,C,0,S,manto,manto,N,C,M,S
ahojakuera,ahoja,N,C,0,P,mantos,manto,N,C,M,P
ahoja,ahoja,N,C,0,S,velo,velo,N,C,M,S
ahojakuera,ahoja,N,C,0,P,velos,velo,N,C,M,P
ahoja,ahoja,N,C,0,S,tapa,tapa,N,C,F,S
ahojakuera,ahoja,N,C,0,P,tapas,tapa,N,C,F,P
ahoja,ahoja,N,C,0,S,rebozo,rebozo,N,C,M,S
ahojakuera,ahoja,N,C,0,P,rebozos,rebozo,N,C,M,P
ahoja,ahoja,N,C,0,S,cobija,cobija,N,C,F,S
ahojakuera,ahoja,N,C,0,P,cobijas,cobija,N,C,F,P
ahoja,ahoja,N,C,0,S,colcha,colcha,N,C,F,S
ahojakuera,ahoja,N,C,0,P,colchas,colcha,N,C,F,P
ahoja,ahoja,N,C,0,S,abrigo,abrigo,N,C,M,S
ahojakuera,ahoja,N,C,0,P,abrigos,abrigo,N,C,M,P
aho'iha,aho'iha,N,C,0,S,tapa,tapa,N,C,F,S
aho'ihakuera,aho'iha,N,C,0,P,tapas,tapa,N,C,F,P
aho'iha,aho'iha,N,C,0,S,cobertor,cobertor,N,C,M,S
aho'ihakuera,aho'iha,N,C,0,P,cobertores,cobertor,N,C,M,P
