achúra,menudencias,menudencia,N,C,F,P
aguape,nenúfar,nenúfar,N,C,M,S
aguape,nenúfares,nenúfar,N,C,M,P
aguapeaso,flamenca,flamenco,N,C,F,S
aguapeaso,flamencas,flamenco,N,C,F,P
aguapeaso,flamenco,flamenco,N,C,M,S
aguapeaso,flamencos,flamenco,N,C,M,P
ahoja,frazada,frazada,N,C,F,S
ahoja,frazadas,frazada,N,C,F,P
ahoja,manta,manta,N,C,F,S
ahoja,mantas,manta,N,C,F,P
ahoja,manto,manto,N,C,M,S
ahoja,mantos,manto,N,C,M,P
ahoja,velo,velo,N,C,M,S
ahoja,velos,velo,N,C,M,P
ahoja,tapa,tapa,N,C,F,S
ahoja,tapas,tapa,N,C,F,P
ahoja,rebozo,rebozo,N,C,M,S
ahoja,rebozos,rebozo,N,C,M,P
ahoja,cobija,cobija,N,C,F,S
ahoja,cobijas,cobija,N,C,F,P
ahoja,colcha,colcha,N,C,F,S
ahoja,colchas,colcha,N,C,F,P
ahoja,abrigo,abrigo,N,C,M,S
ahoja,abrigos,abrigo,N,C,M,P
aho'iha,tapa,tapa,N,C,F,S
aho'iha,tapas,tapa,N,C,F,P
aho'iha,cobertor,cobertor,N,C,M,S
aho'iha,cobertores,cobertor,N,C,M,P
ahy'o,garganta,garganta,N,C,F,S
ahy'o,gargantas,garganta,N,C,F,P
ahy'o,laringe,laringe,N,C,F,S
ahy'o,laringes,laringe,N,C,F,P
ahy'o,faringe,faringe,N,C,F,S
ahy'o,faringes,faringe,N,C,F,P
ahy'o,voces,voz,N,C,F,P
ahy'o,voz,voz,N,C,F,S
ahy'opyáu,ronquera,ronquera,N,C,F,S
ahy'opyáu,ronqueras,ronquera,N,C,F,P
ahy'opyáu,afonía,afonía,N,C,F,S
ahy'opyáu,afonías,afonía,N,C,F,P
ahy'opyáu,disfonía,disfonía,N,C,F,S
ahy'opyáu,disfonías,disfonía,N,C,F,P
ahy'otĩ,campanilla,campanilla,N,C,F,S
ahy'otĩ,campanillas,campanilla,N,C,F,P
ahy'otĩ,úvula,úvula,N,C,F,S
ahy'otĩ,úvulas,úvula,N,C,F,P
ahẽ,diablo,diablo,N,C,M,S
ahẽ,diablos,diablo,N,C,M,P
ahẽ,demonio,demonio,N,C,M,S
ahẽ,demonios,demonio,N,C,M,P
ai,llaga,llaga,N,C,F,S
ai,llagas,llaga,N,C,F,P
ai,úlcera,úlcera,N,C,F,S
ai,úlceras,úlcera,N,C,F,P
ai,herida,herida,N,C,F,S
ai,herida,herido,N,C,F,S
ai,heridas,herida,N,C,F,P
ai,quiste,quiste,N,C,M,S
ai,quistes,quiste,N,C,M,P
aiguy'i,quiste,quiste,N,C,M,S
aiguy'i,quistes,quiste,N,C,M,P
ajaka,canasto,canasto,N,C,M,S
ajaka,canastos,canasto,N,C,M,P
ajaka,cesta,cesta,N,C,F,S
ajaka,cestas,cesta,N,C,F,P
ajaka,cesto,cesto,N,C,M,S
ajaka,cestos,cesto,N,C,M,P
ajukue,sazón,sazón,N,C,F,S
ajukue,sazones,sazón,N,C,F,P
ajukue,maduración,maduración,N,C,F,S
ajukue,maduraciones,maduración,N,C,F,P
ajukue,maduraciónes,maduración,N,C,F,P
ajurigua,collar,collar,N,C,M,S
ajurigua,collares,collar,N,C,M,P
ajurigua,gargantilla,gargantilla,N,C,F,S
ajurigua,gargantillas,gargantilla,N,C,F,P
aju'y,laurel,laurel,N,C,M,S
aju'y,laureles,laurel,N,C,M,P
ajúra,cuello,cuello,N,C,M,S
ajúra,cuellos,cuello,N,C,M,P
ajúra,pescuezo,pescuezo,N,C,M,S
ajúra,pescuezos,pescuezo,N,C,M,P
akamambu,ampolla,ampolla,N,C,F,S
akamambu,ampollas,ampolla,N,C,F,P
akamambu,burbuja,burbuja,N,C,F,S
akamambu,burbujas,burbuja,N,C,F,P
akandu,chichón,chichón,N,C,M,S
akandu,chichones,chichón,N,C,M,P
akandu,protuberancia,protuberancia,N,C,F,S
akandu,protuberancias,protuberancia,N,C,F,P
akangata,almohada,almohada,N,C,F,S
akangata,almohadas,almohada,N,C,F,P
akangatu,memoria,memoria,N,C,F,S
akangatu,memorias,memoria,N,C,F,P
akangyta,almohada,almohada,N,C,F,S
akangyta,almohadas,almohada,N,C,F,P
aka'ẽ,urraca,urraca,N,C,F,S
aka'ẽ,urracas,urraca,N,C,F,P
aka'ẽ,pájaro,pájaro,N,C,M,S
aka'ẽ,pájaros,pájaro,N,C,M,P
aka'ẽ,vocinglera,vocinglero,N,C,F,S
aka'ẽ,vocingleras,vocinglero,N,C,F,P
aka'ẽ,vocinglero,vocinglero,N,C,M,S
aka'ẽ,vocingleros,vocinglero,N,C,M,P
akuruchĩ,calambre,calambre,N,C,M,S
akuruchĩ,calambres,calambre,N,C,M,P
akuruchĩ,contractura,contractura,N,C,F,S
akuruchĩ,contracturas,contractura,N,C,F,P
akuruchĩ,parálisis,parálisis,N,C,F,N
akuãngue,velocidad,velocidad,N,C,F,S
akuãngue,velocidades,velocidad,N,C,F,P
akytã,nudo,nudo,N,C,M,S
akytã,nudos,nudo,N,C,M,P
akytã,nudosidad,nudosidad,N,C,F,S
akytã,nudosidades,nudosidad,N,C,F,P
akytã,verruga,verruga,N,C,F,S
akytã,verrugas,verruga,N,C,F,P
akytã,callo,callo,N,C,M,S
akytã,callos,callo,N,C,M,P
akytã,tumor,tumor,N,C,M,S
akytã,tumores,tumor,N,C,M,P
akã,cabeza,cabeza,N,C,C,S
akã,cabezas,cabeza,N,C,C,P
akã,testa,testa,N,C,F,S
akã,testas,testa,N,C,F,P
akã,mollera,mollera,N,C,F,S
akã,molleras,mollera,N,C,F,P
akã,intelecto,intelecto,N,C,M,S
akã,intelectos,intelecto,N,C,M,P
akãguapy,prudencia,prudencia,N,C,F,S
akãguapy,prudencias,prudencia,N,C,F,P
