abajo,abajo,R,G
acaso,acaso,R,G
acullá,acullá,R,G
acá,acá,R,G
adelante,adelante,R,G
además,además,R,G
adentro,adentro,R,G
adondequiera,adondequiera,R,G
adrede,adrede,R,G
adunia,adunia,R,G
afuera,afuera,R,G
ahora,ahora,R,G
ahí,ahí,R,G
aindamáis,además,R,G
ajorro,ajorro,R,G
alderredor,alrededor,R,G
alerta,alerta,R,G
algo,algo,R,G
allende,allende,R,G
allá,allá,R,G
allí,allí,R,G
alrededor,alrededor,R,G
alto,alto,R,G
anoche,anoche,R,G
ansí,ansí,R,G
antarca,antarca,R,G
antaño,antaño,R,G
anteanoche,anteanoche,R,G
anteanteanoche,anteanteanoche,R,G
anteanteayer,anteanteayer,R,G
anteayer,anteayer,R,G
antedía,antedía,R,G
antenoche,antenoche,R,G
antes,antes,R,G
antier,antier,R,G
aparte,aparte,R,G
apenas,apenas,R,G
aposta,aposta,R,G
aprisa,aprisa,R,G
aquende,aquende,R,G
aquí,aquí,R,G
arredro,arredro,R,G
arriba,arriba,R,G
asimismo,asimismo,R,G
asina,así,R,G
así,así,R,G
asín,así,R,G
atrás,atrás,R,G
aun,aun,R,G
avante,avante,R,G
avanti,avante,R,G
ayer,ayer,R,G
ayuso,ayuso,R,G
aún,aun,R,G
bajo,bajo,R,G
barato,barato,R,G
bastante,bastante,R,G
bien,bien,R,G
caput,caput,R,G
caro,caro,R,G
casi,casi,R,G
cerca,cerca,R,G
chano,chano,R,G
chiticallando,chiticallando,R,G
claro,claro,R,G
comoquiera,comoquiera,R,G
conforme,conforme,R,G
cuan,cuan,R,G
cuantimás,cuantimás,R,G
cuanto,cuanto,R,G
cuasi,cuasi,R,G
cuán,cuán,R,G
debajo,debajo,R,G
defuera,defuera,R,G
delante,delante,R,G
demasiado,demasiado,R,G
dentro,dentro,R,G
deprisa,deprisa,R,G
despacio,despacio,R,G
después,después,R,G
detrás,detrás,R,G
dondequiera,dondequiera,R,G
doquier,doquier,R,G
doquiera,doquier,R,G
duro,duro,R,G
encima,encima,R,G
endenantes,endenantes,R,G
enfrente,enfrente,R,G
enhorabuena,enhorabuena,R,G
enhoramala,enhoramala,R,G
enmedio,enmedio,R,G
enseguida,enseguida,R,G
entonces,entonces,R,G
entretanto,entretanto,R,G
estupendo,estupendo,R,G
exclusive,exclusive,R,G
exprofeso,exprofeso,R,G
extramuros,extramuros,R,G
fatal,fatal,R,G
frente,frente,R,G
fuera,fuera,R,G
fuerte,fuerte,R,G
gratis,gratis,R,G
harto,harto,R,G
hasta,hasta,R,G
hogaño,hogaño,R,G
hoy,hoy,R,G
ibidem,ibidem,R,G
ibídem,ibidem,R,G
idem,ídem,R,G
igual,igual,R,G
inclusive,inclusive,R,G
incluso,incluso,R,G
incontinenti,incontinenti,R,G
infraganti,infraganti,R,G
intramuros,intramuros,R,G
jamás,jamás,R,G
junto,junto,R,G
justo,justo,R,G
kaputt,caput,R,G
largo,largo,R,G
lejos,lejos,R,G
lento,lento,R,G
limpio,limpio,R,G
luego,luego,R,G
mal,mal,R,G
mañana,mañana,R,G
medio,medio,R,G
mejor,mejor,R,G
menos,menos,R,G
mere,mere,R,G
mientras,mientras,R,G
mismo,mismo,R,G
mocosuena,mocosuena,R,G
mucho,mucho,R,G
muy,muy,R,G
más,más,R,G
máxime,máxime,R,G
nada,nada,R,G
nequáquam,nequáquam,R,G
ni,ni,R,N
no,no,R,N
nomás,nomás,R,G
norabuena,enhorabuena,R,G
noramala,enhoramala,R,G
nunca,nunca,R,G
off-line,offline,R,G
offline,offline,R,G
ogaño,ogaño,R,G
ojalá,ojalá,R,G
on-line,online,R,G
online,online,R,G
otraño,otraño,R,G
otrora,otrora,R,G
otrosí,otrosí,R,G
peor,peor,R,G
poco,poco,R,G
primeramente,primeramente,R,G
primero,primero,R,G
pronto,pronto,R,G
pues,pues,R,G
pássim,pássim,R,G
quizá,quizá,R,G
quizás,quizás,R,G
rápido,rápido,R,G
recién,recién,R,G
requetebién,requetebién,R,G
salvo,salvo,R,G
seguro,seguro,R,G
según,según,R,G
sic,sic,R,G
siempre,siempre,R,G
siquier,siquiera,R,G
siquiera,siquiera,R,G
sobremanera,sobremanera,R,G
sobremodo,sobremodo,R,G
solo,solo,R,G
sucio,sucio,R,G
supra,supra,R,G
suso,suso,R,G
sí,sí,R,G
sólo,sólo,R,G
talvez,talvez,R,G
también,también,R,G
tampoco,tampoco,R,G
tan,tan,R,G
tanto,tanto,R,G
tarde,tarde,R,G
temprano,temprano,R,G
ter,ter,R,G
todavía,todavía,R,G
todo,todo,R,G
trasanteanoche,trasanteanoche,R,G
trasanteayer,trasanteayer,R,G
trasmañana,trasmañana,R,G
verbigracia,verbigracia,R,G
viceversa,viceversa,R,G
ya,ya,R,G
ídem,ídem,R,G
