Word Category,Word,Occurrences,Base Form,Total Occurrences
V,abandona,1,abandonar,57
V,abandonaba,0,abandonar,57
V,abandonabais,0,abandonar,57
V,abandonaban,0,abandonar,57
V,abandonabas,0,abandonar,57
V,abandonad,0,abandonar,57
V,abandonada,3,abandonar,57
V,abandonadas,0,abandonar,57
V,abandonado,5,abandonar,57
V,abandonados,5,abandonar,57
V,abandonamos,0,abandonar,57
V,abandonan,3,abandonar,57
V,abandonando,0,abandonar,57
V,abandonar,7,abandonar,57
V,abandonara,0,abandonar,57
V,abandonarais,0,abandonar,57
V,abandonaran,0,abandonar,57
V,abandonaras,0,abandonar,57
V,abandonare,0,abandonar,57
V,abandonareis,0,abandonar,57
V,abandonaremos,0,abandonar,57
V,abandonaren,0,abandonar,57
V,abandonares,0,abandonar,57
V,abandonaron,5,abandonar,57
V,abandonará,0,abandonar,57
V,abandonarán,2,abandonar,57
V,abandonarás,0,abandonar,57
V,abandonaré,0,abandonar,57
V,abandonaréis,0,abandonar,57
V,abandonaría,0,abandonar,57
V,abandonaríais,0,abandonar,57
V,abandonaríamos,0,abandonar,57
V,abandonarían,0,abandonar,57
V,abandonarías,0,abandonar,57
V,abandonas,0,abandonar,57
V,abandonase,0,abandonar,57
V,abandonaseis,0,abandonar,57
V,abandonasen,0,abandonar,57
V,abandonases,0,abandonar,57
V,abandonaste,0,abandonar,57
V,abandonasteis,0,abandonar,57
V,abandone,0,abandonar,57
V,abandonemos,0,abandonar,57
V,abandonen,5,abandonar,57
V,abandones,1,abandonar,57
V,abandono,13,abandonar,57
V,abandonábamos,0,abandonar,57
V,abandonáis,0,abandonar,57
V,abandonáramos,0,abandonar,57
V,abandonáremos,0,abandonar,57
V,abandonásemos,0,abandonar,57
V,abandoné,0,abandonar,57
V,abandonéis,0,abandonar,57
V,abandonó,7,abandonar,57
V,abanica,0,abanicar,4
V,abanicaba,0,abanicar,4
V,abanicabais,0,abanicar,4
V,abanicaban,0,abanicar,4
