el,el,D,A,0,M,S,0
la,el,D,A,0,F,S,0
las,el,D,A,0,F,P,0
los,el,D,A,0,M,P,0
aquel,aquel,D,D,0,M,S,0
aquella,aquel,D,D,0,F,S,0
aquellas,aquel,D,D,0,F,P,0
aquellos,aquel,D,D,0,M,P,0
esa,ese,D,D,0,F,S,0
esas,ese,D,D,0,F,P,0
ese,ese,D,D,0,M,S,0
esos,ese,D,D,0,M,P,0
esta,este,D,D,0,F,S,0
estas,este,D,D,0,F,P,0
este,este,D,D,0,M,S,0
estos,este,D,D,0,M,P,0
mi,mi,D,P,1,C,S,S
mis,mi,D,P,1,C,P,S
nuestra,nuestro,D,P,1,F,S,P
nuestras,nuestro,D,P,1,F,P,P
nuestro,nuestro,D,P,1,M,S,P
nuestros,nuestro,D,P,1,M,P,P
su,su,D,P,3,C,S,N
sus,su,D,P,3,C,P,N
tu,tu,D,P,2,C,S,S
tus,tu,D,P,2,C,P,S
vuestra,vuestro,D,P,2,F,S,P
vuestras,vuestro,D,P,2,F,P,P
vuestro,vuestro,D,P,2,M,S,P
vuestros,vuestro,D,P,2,M,P,P
