"type_searchedVerb","type_selection3"
"creer","1. tr. Tener algo por cierto sin conocerlo de manera directa o sin que esté comprobado o demostrado. El catecismo enseña lo que hay que creer. U. t. c. prnl. Se lo cree todo."
"crepitar","1. intr. Producir sonidos repetidos, rápidos y secos, como el de la sal en el fuego."
"criar","1. tr. Dicho de una cosa o de un ser vivo: Originar, producir algo. La ropa cría polilla. U. t. c. prnl."
"criticar","1. tr. Analizar pormenorizadamente algo y valorarlo según los criterios propios de la materia de que se trate."
"croar","1. intr. Dicho de una rana: Cantar o emitir su voz característica."
"crujir","1. intr. Dicho de algunos cuerpos, como las telas de seda, las maderas, los dientes, etc.: Hacer cierto ruido cuando rozan unos con otros o se rompen."
"cruzar","1. tr. Atravesar una cosa sobre otra en forma de cruz."
"cuajar","1. m. Zool. Última de las cuatro cavidades en que se divide el estómago de los rumiantes."
"cubrir","1. tr. Ocultar y tapar algo con otra cosa. U. t. c. prnl."
"cuchichear","1. intr. Hablar en voz baja o al oído a alguien, de modo que otros no se enteren."
"cuidar","1. tr. Poner diligencia, atención y solicitud en la ejecución de algo."
"cultivar","1. tr. Dar a la tierra y a las plantas las labores necesarias para que fructifiquen."
"cumplir","1. tr. Llevar a efecto algo. Cumplir un deber, una orden, un encargo, un deseo, una promesa."
"curar","1. tr. Hacer que un enfermo o lesionado, o una parte de su cuerpo enferma o dañada recupere la salud. Curaron a Luis en un hospital de la capital. Le curó la pierna un médico muy famoso."
"damnificar","1. tr. Causar daño a alguien o algo."
"danzar","1. intr. Dicho de una persona: bailar (‖ ejecutar movimientos acompasados). U. t. c. tr. Danzar un vals."
"dar","1. tr. donar."
"datar","1. tr. Poner la data."
"dañar","1. tr. Causar detrimento, perjuicio, menoscabo, dolor o molestia. U. t. c. prnl."
"debilitar","1. tr. Disminuir la fuerza, el vigor o el poder de alguien o algo. U. t. c. prnl."
"debutar","1. intr. Dicho de una compañía teatral o de un artista: Presentarse por primera vez ante el público."
"decapitar","1. tr. Cortar la cabeza."
"decir","1. tr. Manifestar con palabras el pensamiento. U. t. c. prnl."
"decolorar","1. tr. descolorar. U. t. c. prnl."
"deducir","1. tr. Sacar una conclusión de algo. Por tu ropa deduzco que llegas de la calle. ¿Qué podemos deducir de sus palabras?"
"defecar","1. tr. Quitar las heces o impurezas."
"defender","1. tr. Amparar, librar, proteger. U. t. c. prnl."
"deformar","1. tr. Hacer que algo pierda su forma regular o natural. U. t. c. prnl."
"defraudar","1. tr. Privar a alguien, con abuso de su confianza o con infidelidad a las obligaciones propias, de lo que le toca de derecho."
"degenerar","1. intr. Dicho de una persona o de una cosa: Decaer, desdecir, declinar, no corresponder a su primera calidad o a su primitivo valor o estado."
"degollar","1. tr. Cortar la garganta o el cuello a una persona o animal."
"delatar","1. tr. Revelar a la autoridad un delito, designando al autor para que sea castigado, y sin ser parte obligada del juicio el denunciador, sino por su voluntad."
"delirar","1. intr. Desvariar, tener perturbada la razón por una enfermedad o una pasión violenta."
"demoler","1. tr. Deshacer, derribar, arruinar."
"demorar","1. tr. retardar. U. t. c. prnl."
"denegar","1. tr. No conceder lo que se pide o solicita."
"denominar","1. tr. Nombrar, señalar o distinguir con un título particular a alguien o algo. U. t. c. prnl."
"denunciar","1. tr. Avisar o dar noticia de algo."
"depauperar","1. tr. empobrecer."
"depender","1. intr. Estar subordinado a una autoridad o jurisdicción. Depender de la jueza, de la municipalidad."
"deplorar","1. tr. Sentir viva y profundamente un suceso."
"deportar","1. tr. Desterrar a alguien a un lugar, por lo regular extranjero, y confinarlo allí por razones políticas o como castigo."
"deprimir","1. tr. Disminuir el volumen de un cuerpo por medio de la presión."
"depurar","1. tr. Limpiar, purificar. U. t. c. prnl."
"derogar","1. tr. Dejar sin efecto una norma vigente."
"derramar","1. tr. Verter, esparcir cosas líquidas o menudas. U. t. c. prnl. U. t. en sent. fig."
"derretir","1. tr. Hacer líquido algo sólido o pastoso por medio de calor. U. t. c. prnl."
"derribar","1. tr. Arruinar, demoler, echar a tierra muros o edificios."
"derrocar","1. tr. Hacer caer, generalmente por la fuerza, un Gobierno o sistema de gobierno, o a alguien de un puesto preeminente."
"derrotar","1. tr. Vencer y hacer huir con desorden al ejército contrario."
"derruir","1. tr. Derribar, destruir, arruinar un edificio."
"derrumbar","1. tr. Precipitar, despeñar. U. t. c. prnl. U. t. en sent. fig."
"desacatar","1. tr. Faltar a la reverencia o respeto que se debe a alguien. U. t. c. prnl."
"desafiar","1. tr. Retar, provocar a singular combate, batalla o pelea."
"desafilar","1. tr. Embotar el filo de un arma o herramienta. U. t. c. prnl."
"desagraviar","1. tr. Borrar o reparar el agravio hecho, dando al ofendido satisfacción cumplida. U. t. c. prnl."
"desaguar","1. tr. Extraer, echar el agua de un sitio o lugar."
"desairar","1. tr. Humillar, desatender a alguien."
"desalojar","1. tr. Sacar o hacer salir de un lugar a alguien o algo."
"desamparar","1. tr. Abandonar, dejar sin amparo ni favor a alguien o algo que lo pide o necesita."
"desaparecer","1. intr. Dejar de estar a la vista o en un lugar. La mancha ha desaparecido. En Am., u. t. c. prnl. Se desapareció de la casa."
"desarrollar","1. tr. Aumentar o reforzar algo de orden físico, intelectual o moral. Desarrollar la musculatura, la memoria. U. t. c. prnl."
"desatar","1. tr. Desenlazar una cosa de otra, soltar lo que está atado. U. t. c. prnl."
"desatender","1. tr. No prestar atención a lo que se dice o hace."
"desayunar","1. intr. Tomar el desayuno. ¿Ha desayunado ya? U. t. c. prnl. Se desayuna con magdalenas."
