"type_searchedVerb","type_selection3"
"pisar","1. tr. Poner el pie sobre algo."
"pisotear","1. tr. Pisar repetidamente, maltratando o ajando algo."
"pitar","1. tr. Dar una pitada a alguien, manifestar desagrado contra él silbándole."
"planchar","1. tr. Pasar la plancha caliente sobre la ropa, para estirarla, asentarla o darle brillo."
"plantar","1. tr. Meter en tierra una planta, un vástago, un esqueje, un tubérculo, un bulbo, etc., para que arraigue."
"platicar","1. intr. conversar (‖ hablar). U. t. c. tr."
"plegar","1. tr. Hacer pliegues en una cosa. U. t. c. prnl."
"pleitear","1. tr. Litigar o contender judicialmente sobre algo."
"podar","1. tr. Cortar o quitar las ramas superfluas de los árboles, vides y otras plantas para que después se desarrollen con más vigor."
"poder","1. tr. Tener expedita la facultad o potencia de hacer algo."
"ponderar","1. tr. Determinar el peso de algo."
"poner","1. tr. Colocar en un sitio o lugar a alguien o algo. U. t. c. prnl."
"portar","1. tr. Tener algo consigo o sobre sí."
"posar","1. tr. Soltar la carga que se trae a cuestas, para descansar o tomar aliento."
"poseer","1. tr. Dicho de una persona: Tener en su poder algo."
"postergar","1. tr. Hacer sufrir atraso, dejar atrasado algo, ya sea respecto del lugar que debe ocupar, ya del tiempo en que había de tener su efecto."
"postrar","1. tr. Rendir, humillar o derribar algo."
"practicar","1. tr. Ejercitar, poner en práctica algo que se ha aprendido y especulado."
"preceder","1. tr. Ir delante en tiempo, orden o lugar. U. t. c. intr."
"precisar","1. tr. Fijar o determinar de modo preciso."
"predecir","1. tr. Anunciar por revelación, conocimiento fundado, intuición o conjetura algo que ha de suceder."
"predisponer","1. tr. Preparar, disponer anticipadamente algo o el ánimo de alguien para un fin determinado. U. t. c. prnl."
"predominar","1. tr. Prevalecer, preponderar. U. m. c. intr. Predominó el interés general sobre el particular."
"preferir","1. tr. Dar la preferencia. U. t. c. prnl."
"pregonar","1. tr. Publicar, hacer notorio en voz alta algo para que llegue a conocimiento de todos."
"preguntar","1. tr. Interrogar o hacer preguntas a alguien para que diga y responda lo que sabe sobre un asunto. U. t. c. prnl."
"premiar","1. tr. Otorgar un premio a alguien. Premiarán al que llegue primero."
"prender","1. tr. Asir, agarrar, sujetar algo."
"prensar","1. tr. Apretar algo en la prensa, o mediante otro procedimiento, para compactarlo."
"preocupar","1. tr. Ocupar antes o anticipadamente algo."
"preparar","1. tr. Prevenir, disponer o hacer algo con alguna finalidad."
"presagiar","1. tr. Anunciar o prever algo, induciéndolo de presagios o conjeturándolo."
"prescribir","1. tr. Preceptuar, ordenar, determinar algo."
"presenciar","1. tr. Hallarse presente o asistir a un hecho, acontecimiento, etc."
"presentar","1. tr. Hacer manifestación de algo, ponerlo en la presencia de alguien. U. t. c. prnl."
"presentir","1. tr. Intuir o tener la impresión de que algo va a suceder."
"preservar","1. tr. Proteger, resguardar anticipadamente a alguien o algo, de algún daño o peligro. U. t. c. prnl."
"prestar","1. tr. Entregar algo a alguien para que lo utilice durante algún tiempo y después lo restituya o devuelva."
"presumir","1. tr. Suponer o considerar algo por los indicios o señales que se tienen. Presumo que quiere conocerte en persona."
"pretender","1. tr. Querer ser o conseguir algo."
"prevalecer","1. intr. Dicho de una persona o de una cosa: Sobresalir, tener alguna superioridad o ventaja entre otras."
"preñar","1. tr. Fecundar o hacer concebir a la hembra."
"principiar","1. tr. Comenzar, dar principio a algo. U. t. c. intr."
"privar","1. tr. Despojar a alguien de algo que poseía."
"proceder","1. intr. Dicho de una cosa: Obtenerse, nacer u originarse de otra, física o moralmente."
"proclamar","1. tr. Publicar en alta voz algo para que se haga notorio a todos."
"procrear","1. tr. Dicho de una persona o de un animal: Engendrar un individuo de su misma especie. Sus hijos procrearon numerosa prole. U. t. c. intr. Hembras vacunadas para que no procreen."
"procurar","1. tr. Hacer diligencias o esfuerzos para que suceda lo que se expresa."
"producir","1. tr. Engendrar, procrear, criar. Se usa hablando más propiamente de las obras de la naturaleza, y, por ext., de las del entendimiento."
"profanar","1. tr. Tratar algo sagrado sin el debido respeto, o aplicarlo a usos profanos."
"profetizar","1. tr. Anunciar o predecir las cosas distantes o futuras, en virtud del don de profecía."
"profundizar","1. tr. ahondar. U. m. c. intr. U. t. en sent. fig."
"progresar","1. intr. Avanzar, mejorar, hacer adelantos en determinada materia."
"prohibir","1. tr. Vedar o impedir el uso o la ejecución de algo."
"prolongar","1. tr. Alargar, dilatar o extender algo a lo largo. U. t. c. prnl."
"prometer","1. tr. Obligarse a hacer, decir o dar algo."
"promover","1. tr. Impulsar el desarrollo o la realización de algo."
"pronosticar","1. tr. Predecir algo futuro a partir de indicios."
"pronunciar","1. tr. Emitir y articular sonidos para hablar."
"propagar","1. tr. Multiplicar por generación u otra vía de reproducción. U. t. c. prnl."
"propalar","1. tr. Divulgar algo oculto que generalmente se considera negativo."
"propinar","1. tr. Administrar una medicina."
"proporcionar","1. tr. Disponer y ordenar algo con la debida correspondencia en sus partes."
"propulsar","1. tr. Impeler hacia delante."
"prorrogar","1. tr. Continuar, dilatar, extender algo por un tiempo determinado."
"prorrumpir","1. intr. Salir algo con ímpetu."
"proseguir","1. tr. Seguir, continuar, llevar adelante lo que se tenía empezado."
"prosperar","1. intr. Mejorar económicamente. El negocio ha prosperado mucho."
"proteger","1. tr. Resguardar a una persona, animal o cosa de un perjuicio o peligro, poniéndole algo encima, rodeándolo, etc. U. t. c. prnl."
"protestar","1. tr. Declarar o proclamar un propósito."
"proveer","1. tr. Preparar, reunir lo necesario para un fin. U. t. c. prnl."
"provenir","1. intr. Dicho de una persona o de una cosa: Nacer, originarse, proceder de un lugar, de otra persona, de otra cosa, etc."
"provocar","1. tr. Producir o causar algo. La película me ha provocado tristeza. La caída de la bolsa provocó cierto nerviosismo. Era u. t. c. intr. Provocar a risa, a lástima."
"proyectar","1. tr. Lanzar, dirigir hacia delante o a distancia."
"publicar","1. tr. Hacer notorio o patente, por televisión, radio, periódicos o por otros medios, algo que se quiere hacer llegar a noticia de todos."
"pugnar","1. intr. Batallar, contender o pelear."
"pulir","1. tr. Alisar o dar tersura y lustre a algo."
"pulsar","1. tr. Presionar un pulsador."
"pulular","1. intr. Abundar y bullir en un lugar."
"pulverizar","1. tr. Reducir a polvo algo. U. t. c. prnl."
"puntear","1. tr. Marcar, señalar puntos en una superficie."
"punzar","1. tr. Herir con un objeto puntiagudo."
"purificar","1. tr. Quitar de algo lo que le es extraño, dejándolo en el ser y perfección que debe tener según su calidad. U. t. c. prnl."
"quebrantar","1. tr. Romper, separar con violencia."
"quebrar","1. tr. Romper, separar con violencia."
"quedar","1. intr. Estar, detenerse forzosa o voluntariamente en un lugar. U. t. c. prnl."
"quemar","1. tr. Dicho del fuego: Destruir algo o a alguien. U. t. c. prnl."
"querer","1. tr. Desear o apetecer."
"quitar","1. tr. Tomar algo separándolo y apartándolo de otras cosas, o del lugar o sitio en que estaba."
"rabiar","1. intr. Padecer o tener rabia (‖ enfermedad)."
"radicar","1. intr. Echar raíces, arraigar. U. t. c. prnl."
"rajar","1. tr. Dividir en rajas."
"ralear","1. intr. Dicho de una cosa: Hacerse rala, perdiendo la densidad, opacidad o solidez que tenía. U. t. c. tr."
"rallar","1. tr. Desmenuzar algo restregándolo con el rallador."
"ramificar","1. intr. Dicho de un árbol, de un arbusto, etc.: Echar ramas."
"rapar","1. tr. Rasurar o afeitar las barbas. U. t. c. prnl."
"rascar","1. tr. Refregar o frotar fuertemente la piel con algo agudo o áspero, y por lo regular con las uñas. U. t. c. prnl."
"rasgar","1. tr. Romper o hacer pedazos con las manos algo de poca consistencia, como tela, papel, etc."
"rasguñar","1. tr. Arañar o rascar algo, especialmente la piel, con las uñas o con algún instrumento cortante."
"raspar","1. tr. Frotar ligeramente algo quitándole alguna parte superficial."
"rasurar","1. tr. afeitar (‖ cortar el pelo del cuerpo)."
"rayar","1. tr. Hacer o tirar rayas."
"razonar","1. tr. Exponer razones para explicar o demostrar algo. Razonar una teoría, una respuesta."
"reaccionar","1. intr. Dicho de un ser: Actuar por reacción de la actuación de otro, o por efecto de un estímulo. Un estímulo hace reaccionar a los seres. Los seres reaccionan favorablemente o en contra de un estímulo."
"realizar","1. tr. Efectuar, llevar a cabo algo o ejecutar una acción. U. t. c. prnl."
"reanimar","1. tr. Confortar, dar vigor, restablecer las fuerzas. U. t. c. prnl."
"rebanar","1. tr. Hacer rebanadas algo o de algo."
"rebatir","1. tr. Rechazar o contrarrestar la fuerza o violencia de alguien."
"rebosar","1. intr. Dicho de una materia líquida: Derramarse por encima de los bordes del recipiente que la contiene. El agua del vaso rebosaba. U. t. c. prnl."
"rebotar","1. intr. Dicho de un cuerpo elástico: Botar repetidamente, ya sobre el terreno, ya chocando con otros cuerpos."
"recalcar","1. tr. Ajustar, apretar mucho algo con otra cosa o sobre otra cosa."
"recelar","1. tr. Temer, desconfiar o sospechar. U. t. c. prnl."
"rechazar","1. tr. Forzar a algo o a alguien a que retroceda."
"rechinar","1. intr. Dicho de una cosa: Producir o causar un sonido, generalmente desagradable, por rozar con otra. Le rechinaban los dientes."
"recibir","1. tr. Dicho de una persona: Tomar lo que le dan o le envían."
"recluir","1. tr. Encerrar o poner en reclusión. U. t. c. prnl."
"recobrar","1. tr. Volver a tomar o adquirir lo que antes se tenía o poseía. Recobrar las alhajas, la salud, el honor."
"recoger","1. tr. Volver a coger, tomar por segunda vez algo."
"recolectar","1. tr. Recoger los frutos de una cosecha. U. t. c. intr."
"recomendar","1. tr. Encargar, pedir o dar orden a alguien para que tome a su cuidado una persona o un negocio."
"recompensar","1. tr. Compensar el daño hecho."
"reconciliar","1. tr. Volver a las amistades, o atraer y acordar los ánimos desunidos. U. t. c. prnl."
"reconfortar","1. tr. Confortar de nuevo o con energía y eficacia."
