"type_searchedVerb","type_selection3"
"liquidar","1. tr. Hacer líquido algo sólido o gaseoso. U. t. c. prnl."
"lisiar","1. tr. Producir lesión en alguna parte del cuerpo. U. t. c. prnl."
"lisonjear","1. tr. adular."
"litigar","1. tr. Pleitear, disputar en juicio sobre algo."
"llagar","1. tr. Hacer o causar llagas."
"llegar","1. intr. Alcanzar el fin o término de un desplazamiento."
"llenar","1. tr. Ocupar por completo con algo un espacio vacío. U. t. c. prnl."
"llevar","1. tr. Conducir algo desde un lugar a otro alejado de aquel en que se habla o se sitúa mentalmente la persona que emplea este verbo."
"llorar","1. intr. Derramar lágrimas. U. t. c. tr. Llorar lágrimas de piedad."
"lloriquear","1. intr. Llorar sin fuerza y sin bastante causa."
"llover","1. intr. impers. Caer agua de las nubes. U. menos c. tr."
"lloviznar","1. intr. impers. Caer lluvia menuda."
"lubricar","1. tr. Aplicar a algo una sustancia que disminuya la fricción entre superficies en contacto."
"luchar","1. intr. Dicho de dos personas: Contender a brazo partido."
"lucir","1. intr. Brillar, resplandecer."
"lustrar","1. tr. Dar lustre y brillantez a algo, como metales y piedras."
"machacar","1. tr. Golpear algo para deformarlo, aplastarlo o reducirlo a fragmentos pequeños sin llegar a triturarlo."
"machucar","1. tr. machacar (‖ golpear)."
"madurar","1. tr. Hacer que un fruto alcance el grado de desarrollo adecuado para ser consumido. El sol madura las uvas."
"magnificar","1. tr. Engrandecer, alabar, ensalzar. U. t. c. prnl."
"maldecir","1. tr. Echar maldiciones contra alguien o algo."
"maleficiar","1. tr. Causar daño a alguien o a algo."
"malgastar","1. tr. Disipar el dinero, gastándolo en cosas malas o inútiles."
"malograr","1. tr. Perder, no aprovechar algo, como la ocasión, el tiempo, etc."
"maltratar","1. tr. Tratar con crueldad, dureza y desconsideración a una persona o a un animal, o no darle los cuidados que necesita."
"mamar","1. tr. Atraer, sacar, chupar con los labios y la lengua la leche de los pechos. U. t. c. intr."
"manar","1. intr. Dicho de un líquido: Brotar o salir. U. t. c. tr."
"manchar","1. tr. Poner sucio algo, haciéndole perder en alguna de sus partes el color que tenía. U. t. c. prnl."
"mancillar","1. tr. manchar (‖ quitar la buena reputación). U. t. c. prnl."
"mandar","1. tr. Dicho del superior: Ordenar al súbdito."
"manear","1. tr. Poner maneas a una caballería."
"manejar","1. tr. Usar algo con las manos."
"maniatar","1. tr. Atar las manos."
"manifestar","1. tr. Declarar, dar a conocer. U. t. c. prnl."
"manosear","1. tr. Tentar o tocar repetidamente algo, a veces ajándolo o desluciéndolo."
"mantener","1. tr. Proveer a alguien del alimento necesario. U. t. c. prnl."
"marcar","1. tr. Señalar con signos distintivos. Marcar personas, animales, árboles, monedas, prendas, productos."
"marchitar","1. tr. Ajar, deslucir y quitar el jugo y frescura a las hierbas, flores y otras cosas, haciéndoles perder su vigor y lozanía. U. t. c. prnl."
"marear","1. tr. Producir malestar, náuseas y aturdimiento a alguien. U. t. en sent. fig."
"marginar","1. tr. Poner acotaciones o apostillas al margen de un texto."
"martirizar","1. tr. Atormentar a alguien o quitarle la vida por motivos religiosos o ideológicos, etc."
"mascar","1. tr. Partir y triturar algo con la dentadura."
"mascullar","1. tr. coloq. Mascar mal o con dificultad."
"masticar","1. tr. Triturar la comida con los dientes u otros órganos bucales análogos."
"matar","1. tr. Quitar la vida a un ser vivo. U. t. en sent. fig."
"matear","1. tr. Sembrar las simientes o plantar las matas a cierta distancia unas de otras."
"mear","1. intr. malson. orinar (‖ expeler la orina). U. t. c. tr. y c. prnl."
"mecer","1. tr. Mover algo compasadamente de un lado a otro sin que mude de lugar, como la cuna de los niños. U. t. c. prnl."
"medicar","1. tr. Administrar o prescribir medicinas. U. t. c. prnl."
"meditar","1. tr. Pensar atenta y detenidamente sobre algo. ¿Has meditado tu decisión? U. t. c. intr. Debes meditar sobre el problema."
"mejorar","1. tr. Adelantar, acrecentar algo, haciéndolo pasar a un estado mejor."
"mellar","1. tr. Hacer mellas. Mellar la espada, el plato. U. t. c. prnl."
"memorar","1. tr. p. us. Recordar algo, hacer memoria de ello. U. t. c. prnl."
"mencionar","1. tr. Hacer mención de alguien o algo."
"menear","1. tr. Mover algo de una parte a otra. U. t. c. prnl."
"menoscabar","1. tr. Disminuir algo, quitándole una parte, acortarlo, reducirlo. U. t. c. prnl."
"menospreciar","1. tr. Tener a alguien o algo en menos de lo que merece."
"mentir","1. intr. Decir o manifestar lo contrario de lo que se sabe, cree o piensa."
"mermar","1. tr. Hacer que algo disminuya o quitar a alguien parte de cierta cantidad que le corresponde. Mermar la paga, la ración."
"meter","1. tr. Encerrar, introducir o incluir algo dentro de otra cosa o en alguna parte. U. t. c. prnl."
"mezclar","1. tr. Juntar, unir, incorporar algo con otra cosa, confundiéndolos. U. t. c. prnl."
"migrar","1. intr. Trasladarse desde el lugar en que se habita a otro diferente."
"mimar","1. tr. Hacer caricias y halagos."
"mirar","1. tr. Dirigir la vista a un objeto. U. t. c. intr. y c. prnl."
"mitigar","1. tr. Moderar, aplacar, disminuir o suavizar algo riguroso o áspero. U. t. c. prnl."
"modelar","1. tr. Formar de cera, barro u otra materia blanda una figura o adorno."
"moderar","1. tr. Templar, ajustar o arreglar algo, evitando el exceso. Moderar las pasiones, el precio, el calor, la velocidad. U. t. c. prnl."
"modificar","1. tr. Transformar o cambiar algo mudando alguna de sus características. U. t. c. prnl."
"mojar","1. tr. Humedecer algo con agua u otro líquido. U. t. c. prnl."
"moler","1. tr. Quebrantar un cuerpo, reduciéndolo a menudísimas partes, o hasta hacerlo polvo."
"molestar","1. tr. Causar fastidio o malestar a alguien."
"mondar","1. tr. Quitar la cáscara a las frutas, la corteza o piel a los tubérculos, o la vaina a las legumbres."
"morar","1. intr. cult. Habitar o residir habitualmente en un lugar. U. t. en sent. fig."
"morder","1. tr. Clavar los dientes en algo."
"mordisquear","1. tr. Morder algo repetidamente y con poca fuerza."
"morir","1. intr. Llegar al término de la vida. U. t. c. prnl."
"motejar","1. tr. Notar, censurar las acciones de alguien con motes o apodos."
"mover","1. tr. Hacer que un cuerpo deje el lugar o espacio que ocupa y pase a ocupar otro. U. t. c. prnl."
"movilizar","1. tr. Poner en actividad o movimiento. U. t. c. prnl."
"mudar","1. m. Arbusto de la India, de la familia de las asclepiadáceas, cuya raíz, de corteza rojiza por fuera y blanca por dentro, tiene un jugo muy usado por los naturales del país como emético y contraveneno."
"mugir","1. intr. Dicho de una res vacuna: Dar mugidos."
"multiplicar","1. tr. Aumentar el número o la cantidad de cosas de la misma especie. U. t. c. intr. y c. prnl., especialmente hablando de lo que se multiplica por generación. U. t. en sent. fig."
"murmurar","1. intr. Dicho de la corriente de las aguas y también del viento, de las hojas de los árboles, etc.: Hacer ruido blando y apacible."
"nacer","1. intr. Dicho de un ser vivo: Salir del vientre materno, del huevo o de la semilla."
"nacionalizar","1. tr. Naturalizar en un país personas o cosas de otro. U. t. c. prnl."
"nadar","1. intr. Dicho de una persona o de un animal: Trasladarse en el agua, ayudándose de los movimientos necesarios, y sin tocar el suelo ni otro apoyo."
"narcotizar","1. tr. Producir narcotismo. U. t. c. prnl. U. t. en sent. fig."
